name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Corsair Dominator Titanium 96 GB,379.99,"5,6600","2,48",3.958,Black,9.697,32
TEAMGROUP T-Force Vulcan 32 GB,82.49,"5,6000","2,16",2.578,Black,12.667,38
Crucial Pro 32 GB,86.99,"5,5600","2,16",2.718,Black,16.429,46
G.Skill Trident Z RGB 16 GB,44.99,"4,3600","2,8",2.812,Black,10,18
Corsair Dominator Titanium 32 GB,149.99,"5,6000","2,16",4.687,White,10,30
TEAMGROUP T-Force Delta RGB 16 GB,40.99,"4,3600","2,8",2.562,White,10,18
Corsair Vengeance 64 GB,209.99,"5,6000","2,32",3.281,Black / Gray,10,30
Crucial Ballistix MAX 16 GB,995,"4,5100","2,8",62.188,Black,7.451,19
G.Skill Aegis 32 GB,49.99,"4,3200","2,16",1.562,Red / Black,10,16
Kingston FURY Beast 16 GB,77.65,"5,6000","2,8",4.853,Black,10,30
TEAMGROUP T-Force Vulcan 32 GB,92.99,"5,6000","2,16",2.906,Black,10,30
G.Skill Aegis 16 GB,36.99,"4,3200","2,8",2.312,Red / Black,10,16
Corsair Vengeance LPX 8 GB,17.98,"4,2400","1,8",2.248,Black / Yellow,13.333,16
Corsair Vengeance 64 GB,134.99,"5,5600","2,32",2.109,Black,14.286,40
Corsair Vengeance RGB Pro 16 GB,53.99,"4,3200","2,8",3.374,White,10,16
Patriot Viper Venom 64 GB,149.99,"5,6400","2,32",2.344,Black / White,10,32
G.Skill Trident Z5 RGB 32 GB,87.99,"5,6000","2,16",2.75,Black,12,36
Kingston FURY Beast RGB 16 GB,66.98,"5,6000","2,8",4.186,Black,12,36
Patriot Signature 8 GB,9.99,"3,1600","1,8",1.249,Black / Green,13.75,11
Crucial Classic 16 GB,43.99,"5,5600","2,8",2.749,Black,16.429,46
ADATA XPG Lancer Blade 32 GB,117.75,"5,6000","2,16",3.68,Black,10,30
Corsair Vengeance 32 GB,81.99,"5,6000","2,16",2.562,Black,12,36
Corsair Vengeance 192 GB,582.01,"5,5200","4,48",3.031,Black,14.615,38
