name,price,resolutions,connection,focus_type,os,fov
Green Extreme T200 + Live Streaming Bundle,,"1080p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",
Microsoft LifeCam Studio,95.98,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",75
Avermedia PW315,74.98,"1080p",USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS",95.8
OBSBOT MEET 2,129,"4k,1080p,720p,480p",USB 2.0 Type-C,Auto,"Windows,OS X",79.4
Microsoft Lifecam Cinema,96.45,"720p",USB 2.0 Type-A,Auto,"Windows",73
Logitech C505e,,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X,ChromeOS",60
Logitech C525,59.95,"720p",USB 2.0 Type-A,Auto,"Windows,OS X,ChromeOS,Android",69
OBSBOT Tiny,,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",86
Microsoft LifeCam HD-3000 L2,,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X",
Microsoft LifeCam CinemaaFor Business,127.99,"720p",USB 2.0 Type-A,Auto,"Windows,OS X",
Microsoft LifeCam Studio for Business,95.49,"1080p,720p",USB 2.0 Type-A,Auto,"Windows,OS X",75
Avermedia HD Webcam 310,,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",
Wansview 105JD,,"1080p",USB 2.0 Type-A,Manual,"Windows,OS X,Android",90
Creative Labs BlasterX Senz3D,,"1080p,720p",USB 3.2 Gen 1 Type-A,Auto,"Windows",77
Creative Labs Live! Cam Sync HD,,"720p",USB 2.0 Type-A,Fixed,"Windows,OS X",
Avermedia 4K UHD Webcam 510,,"4k,1080p,720p,480p",USB 3.2 Gen 1 Type-C,,"Windows",85
Anker PowerConf C300,,"1080p,720p",USB 3.2 Gen 1 Type-C,Auto,"Windows,OS X",115
Green Extreme T300,,"1080p,720p,480p",USB 2.0 Type-A,Auto,"Windows,OS X,Android",94
Adesso Cybertrack H4P,,"1080p",USB 2.0 Type-A,Manual,"Windows,OS X",78
Wansview 102JD,,"1080p",USB 2.0 Type-A,,"Windows,OS X,Android",90
