name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Razer Naga V2 Pro w/Dock Pro,,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Redragon M908 IMPACT MMO,33.84,Optical,Wired,12400,Right,Black
Corsair SCIMITAR ELITE WIRELESS MMO,89.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
HP HyperX Pulsefire Core RGB,29.99,Optical,Wired,6200,Right,Black
Logitech G600 MMO Gaming Mouse,209.69,Laser,Wired,8200,Right,Black
Razer Basilisk X HyperSpeed,85,Optical,Wireless,16000,Right,Black / Green
Corsair NIGHTSABRE RGB,129.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Logitech G705,79.98,Optical,"Wired, Wireless, Bluetooth Wireless",8200,Right,White
Logitech MX Master 3,117.59,Laser,Wireless,4000,Right,Black / Silver
Glorious Model O 2,69.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
Corsair M75,79.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Both,White
Razer Viper Ultimate w/Dock,184.91,Optical,Wireless,20000,Both,Pink
Glorious Model O,69.64,Optical,Wireless,19000,Right,Black
Razer Orochi V2,63.95,Optical,Wireless,18000,Right,White
Logitech G602,240.04,Optical,Wireless,2500,Right,Black / Silver
Razer Basilisk V3 Pro,118,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,White / Black
EVGA X15 MMO Gaming,34.99,Optical,Wired,16000,Right,Black
Logitech G402,42.98,Optical,Wired,4000,Right,Black
HP HyperX Pulsefire Haste,50.99,Optical,Wireless,16000,Right,Black
Razer Basilisk Ultimate,228,Optical,"Wired, Wireless",20000,Right,Black / Green
Logitech G403 HERO,48.42,Optical,Wired,25600,Right,Black / Blue
Endgame Gear OP1 8k,84.99,Optical,Wired,26000,Right,Black
Glorious Model I 2,69.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Glorious Model O,102.5,Optical,Wireless,19000,Right,White
Asus P702 ROG GLADIUS II WIRELESS,258,Optical,Wireless,16000,Right,Black / Red
SteelSeries Prime,15.95,Optical,Wired,18000,Right,Black
Logitech M330 SILENT PLUS,15.49,Optical,Wireless,1000,Right,Black
Logitech G502 X,111.2,Optical,"Wired, Wired, Wireless",25600,Right,White
MSI CLUTCH,19.99,Optical,Wired,4200,Right,Black
Asus ROG Keris II WL Ace,109.99,Optical,"Wired, Wireless, Bluetooth Wireless",42000,Right,Black
Corsair IRONCLAW RGB WIRELESS,79.98,Optical,Wireless,18000,Right,Black
Logitech PRO X Superlight 2,114.99,Optical,"Wired, Wireless",32000,Right,Pink
Razer Cobra Pro,129.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Razer Naga V2 HyperSpeed,97.95,Optical,"Wireless, Bluetooth Wireless",30000,Right,Black
Razer Naga Trinity,,Optical,Wired,16000,Right,Black
Redragon Mammoth,29.99,Laser,Wired,16400,Right,Black / Red
Logitech G903 HERO,89.99,Optical,Wireless,25600,Both,Black
Logitech G102 LIGHTSYNC RGB,28,Optical,Wired,8000,Right,Black
Logitech M100,9.77,Optical,Wired,1000,Both,Black
Asus ROG Gladius III,44.99,Optical,Wired,26000,Right,Black
Verbatim 70233,8.99,Optical,Wired,,Both,Blue / Black
Redragon M656,19.98,Optical,Wireless,4000,Right,Red
Logitech G604 LIGHTSPEED,238.25,Optical,Wireless,25600,Right,Black
