name,price,amount
Prolimatech PK-Zero,,30
CRYORIG CP15,,4
CRYORIG CP5,,4
CRYORIG CP7,,4
Graphitene GTP-5,,3.5
Gelid Solutions GC-2,,7
ARCTIC MX-2,,30
ARCTIC MX-2,,65
NOX Thermal 880,,23
ARCTIC MX-5 Incl. Spatula,,2
ARCTIC MX-5,,8
ARCTIC MX-5,,20
EK EK-TIM Ectotherm,,5
Iceberg Thermal FUZEIce,,3.5
Iceberg Thermal FUZEIce,,7
Iceberg Thermal FUZEIce Plus,,7
Gelid Solutions GC-4,,10
Gelid Solutions GC-Extreme,,3.5
Gelid Solutions GC-Extreme,,10
ARCTIC MX-2,,8
Deepcool EX750,,3
Enermax ETC521,,3
Xilence ZUB-XPTP.X5,,3
