name,price,capacity,price_per_gb,type,cache,form_factor,interface
Lexar NM790 w/Heatsink,321.85,4000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate SkyHawk AI,349.99,20000,0.017,7200,256,3.5,SATA 6.0 Gb/s
Seagate FireCuda,,4000,,7200,256,3.5,SATA 6.0 Gb/s
PNY CS3140,129.99,2000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,56.99,1000,0.057,7200,32,3.5,SATA 3.0 Gb/s
Western Digital Black SN850,110,500,0.22,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Archive HDD v2,159.26,5000,0.032,5900,128,3.5,SATA 6.0 Gb/s
Seagate BarraCuda Pro,,8000,,7200,256,3.5,SATA 6.0 Gb/s
MSI SPATIUM M470,149.99,1000,0.15,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Ultrastar DC HC330,248.89,10000,0.025,7200,256,3.5,SATA 6.0 Gb/s
Samsung 840 Pro,,256,,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP MS30,92.99,2000,0.046,SSD,,M.2-2280,M.2 SATA
TEAMGROUP Cardea A440,79.98,1000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Orico J-10,,1000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Red SA500,309.99,4000,0.077,SSD,,2.5,SATA 6.0 Gb/s
Seagate ST1000LM014,41.99,1000,0.042,,64,2.5,SATA 6.0 Gb/s
Gigabyte GP-GSTFS31240GNTD,26.98,240,0.112,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Blue SN570,39.99,250,0.16,SSD,,M.2-2280,M.2 PCIe 3.0 X4
SK Hynix Gold P31,59.84,500,0.12,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP600 CORE,1080,4000,0.27,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red Plus,484.75,14000,0.035,7200,512,3.5,SATA 6.0 Gb/s
Netac NV7000,156.99,2000,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4
ADATA SU800,89.7,1000,0.09,SSD,,2.5,SATA 6.0 Gb/s
Seagate FireCuda 520,193.79,1000,0.194,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda Pro,237.99,12000,0.02,7200,256,3.5,SATA 6.0 Gb/s
Gigabyte AORUS Gen5 14000,,2000,,SSD,2048,M.2-2280,M.2 PCIe 5.0 X4
Samsung 850 Evo,,120,,SSD,,2.5,SATA 6.0 Gb/s
Western Digital WD Green SN3000,119.99,2000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN750 SE,,500,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-FORCE G70 PRO Aluminum,122.99,2000,0.061,SSD,,M.2-2280,M.2 PCIe 4.0 X4
PNY CS2241,,4000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NQ710,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intel Optane 905P,,1500,,SSD,,PCIe,PCIe x4
Intel 660p,199,2048,0.097,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Inland QN450,65.09,1000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
