name,price,type,interface,capacity,price_per_gb,color
Western Digital My Book Duo,469.99,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",16000,0.029,Black
Apricorn Aegis Fortress L3,4999,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",16000,0.312,Black
Seagate Backup Plus Hub,249.99,Desktop,USB Type-A 3.2 Gen 2,8000,0.031,
Seagate Expansion,184.99,Portable,USB Type-A 3.2 Gen 1,5000,0.037,Black
Seagate Backup Plus,110,Portable,USB Type-A 3.2 Gen 1,1000,0.11,
Crucial X9,64.99,Portable,USB Type-C 3.2 Gen 2,1000,0.065,Black
Samsung T9 Portable,199.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.1,Black
Western Digital ELEMENTS,,Portable,USB Type-A 3.2 Gen 1,1000,,
TEAMGROUP M200,64.99,Portable,USB Type-C 3.2 Gen 2x2,500,0.13,Black
Kingston XS1000,74.98,Portable,USB Type-C 3.2 Gen 2,1000,0.075,Black
Crucial X6,69.98,Portable,USB Type-C 3.2 Gen 2,1000,0.07,Black
Samsung T5 EVO Portable,228.99,Portable,USB Type-C 3.2 Gen 1,4000,0.057,Black
Western Digital Elements Portable,114.99,Portable,USB Type-A 3.2 Gen 1,4000,0.029,Black
Western Digital easystore,449.99,Desktop,USB Type-A,20000,0.022,Black
Western Digital easystore,,Desktop,"USB Type-A 2.0, USB Type-A 3.2 Gen 1",16000,,Black
Seagate One Touch,120.99,Portable,USB Type-A 3.2 Gen 1,4000,0.03,Black
Crucial X10 Pro,171.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.086,Black
Seagate Backup Plus,,Portable,USB Type-A 3.2 Gen 1,2000,,
Western Digital My Book,169.99,Desktop,USB Type-A 3.2 Gen 1,8000,0.021,Black
Western Digital My Book,154,Desktop,USB Type-A 3.2 Gen 1,6000,0.026,Black
Western Digital My Passport,124.99,Portable,USB Type-A 3.2 Gen 1,4000,0.031,Blue
Apricorn Aegis Fortress,2769,Portable,USB Type-A 3.2 Gen 1,8000,0.346,Black
Samsung T9 Portable,114.99,Portable,USB Type-C 3.2 Gen 2x2,1000,0.115,Black
Seagate One Touch,399.99,Desktop,USB Type-A 3.2 Gen 1,18000,0.022,Black
Western Digital My Book,270,Desktop,USB Type-A 3.2 Gen 2,14000,0.019,Black
Corsair EX400U,,Portable,USB Type-C 4.0 Gen 3x2,2000,,Black
Silicon Power PC60,,Portable,USB Type-C 3.2 Gen 2,256,,Black
Western Digital easystore,389.99,Desktop,"USB Type-A 2.0, USB Type-A 3.2 Gen 1",18000,0.022,Black
Western Digital My Book Duo,589.99,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",20000,0.029,Black
Western Digital My Book Duo,898,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",8000,0.112,Black
Western Digital easystore,235.88,Desktop,USB Type-A 3.2 Gen 1,8000,0.029,
TEAMGROUP T-Create CinemaPr P31,299.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.15,Black
Kingston XS1000,119.99,Portable,USB Type-C 3.2 Gen 2,2000,0.06,Black
Seagate Backup Plus Portable,117.99,Portable,USB Type-A 3.2 Gen 1,5000,0.024,Black
Seagate One Touch,283.75,Desktop,USB Type-A 3.2 Gen 1,12000,0.024,Black
Toshiba Canvio Basics,101,Portable,USB Type-A 3.2 Gen 1,1000,0.101,
Apricorn Aegis Padlock DT,1279,Desktop,USB Type-A 3.2 Gen 1,22000,0.058,Black
Seagate One Touch,379.99,Desktop,USB Type-A 3.2 Gen 1,16000,0.024,Black
Western Digital My Passport,124.99,Portable,USB Type-A 3.2 Gen 1,4000,0.031,Red
Crucial X9 Pro,139.99,Portable,USB Type-C 3.2 Gen 2,2000,0.07,Silver
Seagate One Touch,278.19,Desktop,USB Type-A 3.2 Gen 1,10000,0.028,Black
Western Digital My Book Duo,789.99,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",28000,0.028,Black
Seagate One Touch,144.94,Portable,USB Type-A 3.2 Gen 1,5000,0.029,Black
Seagate Expansion,178.88,Desktop,USB Type-A 3.2 Gen 1,3000,0.06,
Seagate Expansion,,Desktop,USB Type-A 3.2 Gen 1,4000,,
Lexar ARMOR 700,289.99,Portable,USB Type-C 3.2 Gen 2x2,4000,0.072,Black
TEAMGROUP M200,,Portable,USB Type-C 3.2 Gen 2x2,8000,,Black
Apricorn Aegis Padlock 3.0,4949,Portable,USB Type-A 3.2 Gen 1,16000,0.309,Black
Apricorn Aegis Fortress,383.88,Portable,USB Type-A 3.2 Gen 1,1000,0.384,Black
Seagate Barracuda Fast,,Portable,USB Type-C,2000,,Black
Seagate Game Drive Xbox GamePass Edition,229,Portable,USB Type-A 3.2 Gen 1,4000,0.057,White
Western Digital My Book,,Desktop,USB Type-A 3.2 Gen 1,10000,,Black
Corsair EX100U,89.99,Portable,USB Type-C 3.2 Gen 2x2,1000,0.09,Black
Samsung T7 Shield,99.99,Portable,USB Type-C 3.2 Gen 2,1000,0.1,Black
Western Digital My Book,,Desktop,USB Type-A 3.2 Gen 1,6000,,
Western Digital WD_BLACK P50,299.99,Portable,USB Type-C 3.2 Gen 1,1000,0.3,Black / Silver
