name,price,type,interface,capacity,price_per_gb,color
Apricorn Padlock SSD,186.03,Portable,USB Type-A 3.2 Gen 1,240,0.775,Black
Western Digital My Passport,,Portable,USB Type-A 3.2 Gen 1,2000,,
Samsung T1,,Portable,USB Type-A 3.2 Gen 1,1000,,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,1000,,
Imation Apollo Expert,,Portable,USB Type-A 3.2 Gen 1,1000,,
ADATA AHV620-2TU3-CBK,,Portable,USB Type-A 3.2 Gen 1,2000,,
ADATA DashDrive Durable HD650,70.26,Portable,USB Type-A 3.2 Gen 1,1000,0.07,
ADATA CH11,60.9,Portable,USB Type-A 3.2 Gen 1,500,0.122,
Toshiba Canvio Basics 3.0,,Portable,USB Type-A 3.2 Gen 1,2000,,
HP HPHDD2E30500AS1-RBU,,Portable,USB Type-A 3.2 Gen 1,500,,
Seagate Backup Plus Slim,,Portable,USB Type-A 3.2 Gen 1,2000,,
Seagate Expansion,,Portable,USB Type-A 3.2 Gen 1,1000,,
Verbatim Store 'n' Go,,Portable,USB Type-A 3.2 Gen 1,256,,
Buffalo Technology MiniStation Extreme,,Portable,USB Type-A 3.2 Gen 1,500,,
Buffalo Technology MiniStation,,Portable,USB Type-A 3.2 Gen 1,1000,,
Silicon Power Bolt B75 Pro,,Portable,USB Type-C 3.2 Gen 2,4000,,Black
TEAMGROUP M200,79.98,Portable,USB Type-C 3.2 Gen 2x2,1000,0.08,Black
Crucial X6,289.99,Portable,USB Type-C 3.2 Gen 2,4000,0.072,Black
TEAMGROUP T-Create CinemaPr P31,199.99,Portable,USB Type-C 3.2 Gen 2x2,1000,0.2,Black
Silicon Power Bolt B75 Pro,,Portable,USB Type-C 3.2 Gen 2,2000,,Black
Kingston XS2000,92.99,Portable,USB Type-C 3.2 Gen 2x2,1000,0.093,Silver
Silicon Power PC60,75.48,Portable,USB Type-C 3.2 Gen 2,1000,0.075,Black
Crucial X9 Pro,97,Portable,USB Type-C 3.2 Gen 2,1000,0.097,Silver
KIOXIA EXCERIA PLUS,,Portable,USB Type-C 3.2 Gen 2,1000,,Gray
KIOXIA EXCERIA PLUS,162.41,Portable,USB Type-C 3.2 Gen 2,2000,0.081,Gray
Samsung T7 Portable,149.99,Portable,USB Type-C 3.2 Gen 1,500,0.3,Blue / Silver
Apricorn Aegis Padlock DT,299,Desktop,USB Type-A 3.2 Gen 1,4000,0.075,Black
Koss Kanguru Ultra,,Desktop,USB Type-C,2000,,Black
Apricorn Aegis Padlock DT,,Desktop,USB Type-A 3.2 Gen 1,1000,,
Seagate Backup Plus,189.99,Desktop,USB Type-A 3.2 Gen 1,5000,0.038,
Seagate Backup Plus,205.28,Desktop,USB Type-A 3.2 Gen 1,2000,0.103,
Western Digital My Book Studio,299.95,Desktop,"IEEE 1394B 9-Pin, USB Type-A 2.0",2000,0.15,
Integral SlimXpress,,Portable,USB Type-C 3.2 Gen 2,2000,,Black
Lexar Professional SL600,89.99,Portable,USB Type-C 3.2 Gen 2x2,1000,0.09,Black
Lexar Professional SL600,159.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.08,Black
Sabrent Rocket Nano Rugged,,Portable,USB Type-C 3.2 Gen 2,2000,,Silver
Sabrent Rocket Nano,229.99,Portable,USB Type-C 3.2 Gen 2,2000,0.115,Silver
Sabrent Rocket Nano,149.99,Portable,USB Type-C 3.2 Gen 2,1000,0.15,Pink
Sabrent Rocket Nano,79.99,Portable,USB Type-C 3.2 Gen 2,512,0.156,Silver
Apricorn Aegis Padlock 3.0,224,Portable,USB Type-A 3.2 Gen 1,2000,0.112,Black
Apricorn Aegis Fortress L3,292.99,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",2000,0.146,Black
Silicon Power Bolt B75 Pro,,Portable,USB Type-C 3.2 Gen 2,512,,Black
Seagate One Touch,189,Portable,USB Type-A 3.2 Gen 1,4000,0.047,Silver
Seagate One Touch,149.99,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",2000,0.075,Black
Western Digital My Passport,139.99,Portable,USB Type-A 3.2 Gen 1,5000,0.028,Blue
Apricorn Aegis Padlock Fortress,237.99,Portable,USB Type-A 3.2 Gen 1,2000,0.119,Black
SanDisk Extreme 900,,Portable,USB Type-A 3.2 Gen 2,480,,
Toshiba Canvio Slim II,106,Portable,,1000,0.106,
Transcend StoreJet,,Portable,USB Type-A 3.2 Gen 1,500,,
Apricorn Aegis Padlock DT,1079,Desktop,USB Type-A 3.2 Gen 1,18000,0.06,Black
Apricorn Aegis Padlock DT,779.99,Desktop,USB Type-A 3.2 Gen 1,16000,0.049,Black
Apricorn Aegis Padlock DT,752.53,Desktop,USB Type-A 3.2 Gen 1,12000,0.063,Black
Apricorn Aegis Padlock DT,526.45,Desktop,USB Type-A 3.2 Gen 1,8000,0.066,Black
Apricorn Padlock DT FIPS,799,Desktop,USB Type-A 3.2 Gen 1,16000,0.05,Black
Apricorn Padlock DT FIPS,783.99,Desktop,USB Type-A 3.2 Gen 1,12000,0.065,Black
Apricorn Padlock DT FIPS,622.27,Desktop,USB Type-A 3.2 Gen 1,10000,0.062,Black
Apricorn Padlock DT FIPS,629,Desktop,USB Type-A 3.2 Gen 1,8000,0.079,Black
Apricorn Padlock DT FIPS,473.42,Desktop,USB Type-A 3.2 Gen 1,6000,0.079,Black
Apricorn Padlock DT FIPS,327.99,Desktop,USB Type-A 3.2 Gen 1,4000,0.082,Black
Apricorn Padlock DT FIPS,204.94,Desktop,USB Type-A 3.2 Gen 1,2000,0.102,Black
LaCie Porsche Design,,Desktop,USB Type-A 3.2 Gen 1,2000,,Silver
LaCie Porsche Design,,Desktop,USB Type-A 3.2 Gen 1,1000,,Silver
Western Digital easystore,,Desktop,USB Type-A 3.2 Gen 1,14000,,
Verbatim 99399,,Desktop,USB Type-A 3.2 Gen 1,4000,,Black
Western Digital My Book Duo,,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",6000,,Black
G-Technology G-DRIVE,,Desktop,"IEEE 1394B 9-Pin, eSATA 6.0 Gb/s, USB Type-A 3.2 Gen 1",3000,,
Edge Tech EDGDG-236236-PE,,Desktop,USB Type-A 3.2 Gen 1,4000,,
Buslink CipherShield,,Desktop,USB Type-A 3.2 Gen 1,6000,,
LaCie Porsche Design,,Desktop,USB Type-A 3.2 Gen 1,8000,,
Transcend StoreJet 35T3,,Desktop,USB Type-A 3.2 Gen 1,2000,,
Transcend StoreJet 35T3,,Desktop,USB Type-A 3.2 Gen 1,3000,,
Imation Apollo Pro UX,,Desktop,USB Type-A 2.0,1000,,
Apricorn Aegis Padlock DT,,Desktop,USB Type-A 3.2 Gen 1,1000,,
Buslink CSC-2T-U3,,Desktop,USB Type-A 3.2 Gen 1,2000,,
Buslink CSC-1T-U2,,Desktop,USB Type-A 2.0,1000,,
Buslink CRF-2T-U2,,Desktop,USB Type-A 2.0,2000,,
Axiom USB3HD35S500-AX,,Desktop,,500,,
Axiom USB3HD35S3TB-AX,,Desktop,USB Type-A 3.2 Gen 1,3000,,
Axiom USB3HD35S2TB-AX,,Desktop,USB Type-A 3.2 Gen 1,2000,,
Axiom USB3HD35S250-AX,,Desktop,,250,,
Axiom USB3HD35S1TB-AX,,Desktop,USB Type-A 3.2 Gen 1,1000,,
Apricorn Aegis Padlock DT,182.43,Desktop,USB Type-A 3.2 Gen 1,2000,0.091,Black
Apricorn Aegis Padlock DT,,Desktop,USB Type-A 3.2 Gen 1,2000,,
Hitachi HGST Touro Desk Pro,,Desktop,USB Type-A 3.2 Gen 1,4000,,
Hitachi HGST Touro Desk,,Desktop,USB Type-A 3.2 Gen 1,4000,,
Seagate Backup Plus,259.99,Desktop,USB Type-A 3.2 Gen 1,3000,0.087,
Seagate Expansion,,Desktop,USB Type-A 3.2 Gen 1,5000,,
Samsung D3 Station,,Desktop,USB Type-A 3.2 Gen 1,4000,,
Samsung D3 Station,,Desktop,USB Type-A 3.2 Gen 1,3000,,
Samsung D3 Station,,Desktop,USB Type-A 3.2 Gen 1,3000,,
Samsung D3 Station,,Desktop,USB Type-A 3.2 Gen 1,2000,,
LaCie d2,,Desktop,"Thunderbolt, USB Type-A 3.2 Gen 1",4000,,
LaCie d2,,Desktop,"Thunderbolt, USB Type-A 3.2 Gen 1",3000,,
LaCie 2big,,Desktop,Thunderbolt,10000,,
LaCie 4big Quadra,,Desktop,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",8000,,
LaCie Minimus,,Desktop,USB Type-A 3.2 Gen 1,3000,,
LaCie d2,,Desktop,"Thunderbolt, USB Type-A 3.2 Gen 1",6000,,
LaCie d2,,Desktop,"Thunderbolt, USB Type-A 3.2 Gen 1",5000,,
LaCie Porsche Design,,Desktop,USB Type-A 3.2 Gen 1,4000,,
LaCie 2big Quadra,,Desktop,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",6000,,
LaCie d2,,Desktop,"Thunderbolt, USB Type-A 3.2 Gen 1",3000,,
LaCie 4big Quadra,,Desktop,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",12000,,
LaCie Little Big Disk,,Desktop,Thunderbolt,1000,,
LaCie 2big Quadra,,Desktop,"IEEE 1394B 9-Pin, USB Type-A 3.2 Gen 1",4000,,
LaCie d2,,Desktop,"Thunderbolt, USB Type-A 3.2 Gen 1",4000,,
Western Digital My Book for Mac,,Desktop,USB Type-A 3.2 Gen 1,3000,,
Western Digital My Book for Mac,,Desktop,USB Type-A 3.2 Gen 1,2000,,
Western Digital ELEMENTS,249.78,Desktop,USB Type-A 3.2 Gen 1,5000,0.05,
Western Digital ELEMENTS,,Desktop,USB Type-A 3.2 Gen 1,2000,,
Western Digital My Book Studio,,Desktop,USB Type-A 3.2 Gen 1,4000,,
Western Digital My Book,,Desktop,USB Type-A 3.2 Gen 1,3000,,
Western Digital My Book Studio,,Desktop,"IEEE 1394B 9-Pin, USB Type-A 2.0",3000,,
Western Digital My Book Essential,179.99,Desktop,USB Type-A 3.2 Gen 1,1000,0.18,
LaCie Blade Runner,,Desktop,USB Type-A 3.2 Gen 1,4000,,
LaCie d2 Quadra,,Desktop,"IEEE 1394B 9-Pin, eSATA 3.0 Gb/s, USB Type-A 3.2 Gen 1",3000,,
LaCie d2 Quadra,,Desktop,"IEEE 1394B 9-Pin, eSATA 3.0 Gb/s, USB Type-A 3.2 Gen 1",2000,,
Buffalo Technology DriveStation,,Desktop,Thunderbolt,256,,
Buffalo Technology DriveStation,,Desktop,Thunderbolt,1000,,
Buffalo Technology DriveStation Duo,,Desktop,USB Type-A 3.2 Gen 1,6000,,
Buffalo Technology DriveStation Duo,,Desktop,USB Type-A 3.2 Gen 1,4000,,
Buffalo Technology DriveStation Duo,,Desktop,USB Type-A 3.2 Gen 1,2000,,
Buffalo Technology DriveStation Axis Velocity,,Desktop,USB Type-A 3.2 Gen 1,3000,,
Buffalo Technology DriveStation Axis Velocity,,Desktop,USB Type-A 3.2 Gen 1,1000,,
Buffalo Technology DriveStation,,Desktop,USB Type-A 3.2 Gen 1,4000,,
Buffalo Technology DriveStation,,Desktop,USB Type-A 3.2 Gen 1,3000,,
Buffalo Technology DriveStation Combo 4,,Desktop,"IEEE 1394A 6-Pin, IEEE 1394B 9-Pin, eSATA 3.0 Gb/s, USB Type-A 2.0",2000,,
Buffalo Technology DriveStation,,Desktop,"IEEE 1394A 6-Pin, IEEE 1394B 9-Pin, eSATA 3.0 Gb/s, USB Type-A 2.0",1000,,
Buffalo Technology DriveStation,,Desktop,USB Type-A 3.2 Gen 1,2000,,
Buffalo Technology DriveStation Axis,,Desktop,USB Type-A 3.2 Gen 1,1000,,
Integral SlimXpress,,Portable,USB Type-C 3.2 Gen 2,4000,,Black
Integral SlimXpress,,Portable,USB Type-C 3.2 Gen 2,1000,,Black
Integral SlimXpress,,Portable,USB Type-C 3.2 Gen 2,500,,Black
Integral SlimXpress Pro,,Portable,USB Type-C 3.2 Gen 2x2,2000,,Silver / Black
Integral SlimXpress Pro,,Portable,USB Type-C 3.2 Gen 2x2,1000,,Silver / Black
Integral SlimXpress Pro,,Portable,USB Type-C 3.2 Gen 2x2,500,,Silver / Black
TEAMGROUP PD20 Eco Mini,,Portable,USB Type-C,4000,,White / Green
Lexar ARMOR 700,215.36,Portable,USB Type-C 3.2 Gen 2x2,2000,0.108,Blue
Lexar ARMOR 700,179.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.09,Black
Lexar ARMOR 700,99.99,Portable,USB Type-C 3.2 Gen 2x2,1000,0.1,Black
TEAMGROUP M200,,Portable,USB Type-C 3.2 Gen 2x2,250,,Black
TEAMGROUP T-Create CinemaPr P31,,Portable,USB Type-C 3.2 Gen 2x2,4000,,Gray
TEAMGROUP T-Create CinemaPr P31,,Portable,USB Type-C 3.2 Gen 2x2,2000,,Gray
TEAMGROUP T-Create CinemaPr P31,,Portable,USB Type-C 3.2 Gen 2x2,1000,,Gray
Lexar SL500,131.44,Portable,USB Type-C 3.2 Gen 2x2,512,0.257,Black
Lexar SL500,114.15,Portable,USB Type-C 3.2 Gen 2x2,1000,0.114,Black
Lexar SL500,,Portable,USB Type-C 3.2 Gen 2x2,4000,,Black
Lexar Professional SL600,132.71,Portable,USB Type-C 3.2 Gen 2x2,512,0.259,Black
Lexar SL210,,Portable,USB Type-C 3.2 Gen 1,2000,,Black
Lexar SL210,,Portable,USB Type-C 3.2 Gen 1,1000,,Black
Lexar SL210,,Portable,USB Type-C 3.2 Gen 1,500,,Black
Lexar SL200,,Portable,USB Type-C 3.2 Gen 1,2000,,Black
Lexar SL200,,Portable,USB Type-C 3.2 Gen 1,1000,,Black
Lexar SL100 Pro,,Portable,USB Type-C 3.2 Gen 1,1000,,Black
Lexar SL660 BLAZE,,Portable,USB Type-C 3.2 Gen 2x2,512,,Black
TEAMGROUP PD20M Mag,150.99,Portable,USB Type-C 3.2 Gen 2,2000,0.075,Black
Sabrent Rocket nano XTRM,149.99,Portable,USB Type-C 3.2 Gen 2,1000,0.15,Black
Sabrent Rocket Pro,,Portable,USB Type-C 3.2 Gen 2,4000,,Silver
Sabrent Rocket Pro,,Portable,USB Type-C 3.2 Gen 2,2000,,Silver
Sabrent Rocket Pro,,Portable,USB Type-C 3.2 Gen 2,512,,Silver
Sabrent Rocket Pro,,Portable,USB Type-C 3.2 Gen 2,256,,Silver
Sabrent Rocket Nano Rugged,99.99,Portable,USB Type-C 3.2 Gen 2,1000,0.1,Silver
Sabrent Rocket Nano Rugged,137.72,Portable,USB Type-C 3.2 Gen 2,512,0.269,Silver
Sabrent Rocket Nano,249.99,Portable,USB Type-C 3.2 Gen 2,2000,0.125,Pink
Sabrent Rocket Nano,279.19,Portable,USB Type-C 3.2 Gen 2,2000,0.14,Red
Sabrent Rocket Nano,,Portable,USB Type-C 3.2 Gen 2,2000,,Blue
Sabrent Rocket Nano,,Portable,USB Type-C 3.2 Gen 2,2000,,Gold
Sabrent Rocket Nano,,Portable,USB Type-C 3.2 Gen 2,2000,,Black
Sabrent Rocket Nano,149.99,Portable,USB Type-C 3.2 Gen 2,1000,0.15,Red
Sabrent Rocket Nano,149.99,Portable,USB Type-C 3.2 Gen 2,1000,0.15,Blue
Sabrent Rocket Nano,109.49,Portable,USB Type-C 3.2 Gen 2,1000,0.109,Gold
Sabrent Rocket Nano,,Portable,USB Type-C 3.2 Gen 2,1000,,Black
Sabrent Rocket Nano,124.99,Portable,USB Type-C 3.2 Gen 2,1000,0.125,Silver
Sabrent Rocket Nano,109.99,Portable,USB Type-C 3.2 Gen 2,512,0.215,Pink
Sabrent Rocket Nano,109.99,Portable,USB Type-C 3.2 Gen 2,512,0.215,Red
Sabrent Rocket Nano,109.42,Portable,USB Type-C 3.2 Gen 2,512,0.214,Blue
Sabrent Rocket Nano,99.99,Portable,USB Type-C 3.2 Gen 2,512,0.195,Gold
Sabrent Rocket Nano,,Portable,USB Type-C 3.2 Gen 2,512,,Black
SanDisk Professional PRO-Blade Transport,159.99,Portable,USB Type-C 3.2 Gen 2x2,1000,0.16,Black
Apricorn Padlock SSD,616.59,Portable,USB Type-A 3.2 Gen 1,2000,0.308,Black
Apricorn Padlock SSD,430.99,Portable,USB Type-A 3.2 Gen 1,1000,0.431,Black
Apricorn Aegis Padlock 3.0,724.95,Portable,USB Type-A 3.2 Gen 1,2000,0.362,Black
Apricorn Aegis Padlock 3.0,,Portable,USB Type-A 3.2 Gen 1,1000,,Black
Apricorn Aegis Padlock 3.0,289,Portable,USB Type-A 3.2 Gen 1,512,0.564,Black
Apricorn Aegis Padlock 3.0,177.99,Portable,USB Type-A 3.2 Gen 1,256,0.695,Black
Apricorn Aegis Padlock 3.0,196.99,Portable,USB Type-A 3.2 Gen 1,1000,0.197,Black
Apricorn NVX,,Portable,USB Type-C 3.2 Gen 2,2000,,Black
Apricorn NVX,307.73,Portable,USB Type-C 3.2 Gen 2,500,0.615,Black
Apricorn Aegis Fortress L3,414.11,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",1000,0.414,Black
Apricorn Aegis Fortress L3,395.51,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",4000,0.099,Black
VisionTek 901378,,Portable,USB Type-C,8000,,Black
VisionTek 901377,,Portable,USB Type-C,4000,,Black
VisionTek 901196,,Portable,USB Type-C,1000,,Black
VisionTek 901195,,Portable,USB Type-C,512,,Black
Silicon Power Stream S05,,Portable,USB Type-A 3.2 Gen 1,1000,,Black
Silicon Power Stream S05,,Portable,USB Type-A 3.2 Gen 1,2000,,Black
Silicon Power Stream S05,,Portable,USB Type-A 3.2 Gen 1,4000,,Black
Silicon Power Stream S05,,Portable,USB Type-A 3.2 Gen 1,5000,,Black
Silicon Power Bolt B75,,Portable,USB Type-C 3.2 Gen 1,120,,Silver
Silicon Power Bolt B75,,Portable,USB Type-C 3.2 Gen 1,128,,Silver
Silicon Power Bolt B75,,Portable,USB Type-C 3.2 Gen 1,240,,Silver
Silicon Power Bolt B75,,Portable,USB Type-C 3.2 Gen 1,256,,Silver
Silicon Power Bolt B75,,Portable,USB Type-C 3.2 Gen 1,512,,Silver
Silicon Power Bolt B75,227.16,Portable,USB Type-C 3.2 Gen 1,960,0.237,Silver
Silicon Power Bolt B75,,Portable,USB Type-C 3.2 Gen 1,1000,,Silver
Silicon Power Bolt B75,,Portable,USB Type-C 3.2 Gen 1,2000,,Silver
Silicon Power Bolt B75,,Portable,USB Type-C 3.2 Gen 1,4000,,Silver
Silicon Power PC60,,Portable,USB Type-C 3.2 Gen 2,240,,Black
Silicon Power PC60,,Portable,USB Type-C 3.2 Gen 2,480,,Black
Silicon Power PC60,132.03,Portable,USB Type-C 3.2 Gen 2,960,0.138,Black
Silicon Power PC60,,Portable,USB Type-C 3.2 Gen 2,1920,,Black
Silicon Power PC60,,Portable,USB Type-C 3.2 Gen 2,4000,,Black
Toshiba Canvio Connect II,108.95,Portable,USB Type-A 3.2 Gen 1,1000,0.109,Black
Seagate Barracuda Fast,,Portable,USB Type-C,500,,Black
Verbatim Vx460,,Portable,USB Type-A 3.2 Gen 1,256,,Black
Verbatim Vx460,,Portable,USB Type-A 3.2 Gen 1,512,,Black
Crucial X8,,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 2",500,,Black
Seagate One Touch,,Portable,USB Type-A 3.2 Gen 1,5000,,Blue
Seagate One Touch,,Portable,USB Type-A 3.2 Gen 1,5000,,Silver
Seagate One Touch,,Portable,USB Type-A 3.2 Gen 1,4000,,Gray
Seagate One Touch,,Portable,USB Type-A 3.2 Gen 1,4000,,Red
Seagate One Touch,,Portable,USB Type-A 3.2 Gen 1,4000,,Blue
Seagate One Touch,,Portable,USB Type-A 3.2 Gen 1,2000,,
Seagate One Touch,119,Portable,USB Type-A 3.2 Gen 1,2000,0.06,Gray
Seagate One Touch,,Portable,USB Type-A 3.2 Gen 1,2000,,Blue
Seagate One Touch,109.99,Portable,USB Type-A 3.2 Gen 1,1000,0.11,Gray
Seagate One Touch,,Portable,USB Type-A 3.2 Gen 1,1000,,Red
Seagate One Touch,,Portable,USB Type-A 3.2 Gen 1,1000,,Blue
Seagate One Touch,,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",500,,Silver
Seagate One Touch,,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",500,,Blue
Seagate One Touch,134,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",1000,0.134,Silver
Seagate One Touch,309.99,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",2000,0.155,Silver
Samsung T3 Portable,,Portable,USB Type-C 3.2 Gen 1,2000,,
Samsung T3 Portable,,Portable,USB Type-C 3.2 Gen 1,1000,,
Samsung T5 Portable,,Portable,USB Type-C 3.2 Gen 2,500,,Gold
Samsung T5 Portable,,Portable,USB Type-C 3.2 Gen 2,500,,Red
Samsung T5 Portable,,Portable,USB Type-C 3.2 Gen 2,1000,,Red
Samsung T7 Portable,,Portable,USB Type-C 3.2 Gen 2,1000,,Silver
Samsung T7 Portable,289.99,Portable,USB Type-C 3.2 Gen 2,2000,0.145,Silver
Samsung T7 Portable,104.99,Portable,USB Type-C 3.2 Gen 2,500,0.21,Silver
SanDisk G-DRIVE ArmorLock,,Portable,USB Type-C 3.2 Gen 1,2000,,Black / Yellow
SanDisk G-DRIVE ArmorLock,,Portable,USB Type-C 3.2 Gen 1,1000,,Black / Yellow
Apacer AS721,,Portable,USB Type-C 3.2 Gen 1,500,,Black
Apacer AS721,,Portable,USB Type-C 3.2 Gen 1,250,,Black
Apacer AS722,,Portable,USB Type-C 3.2 Gen 1,1000,,Black
Apacer AS722,,Portable,USB Type-C 3.2 Gen 1,512,,Black
Seagate Backup Plus Portable,,Portable,USB Type-A 3.2 Gen 1,5000,,Black
Samsung T7 Portable,269,Portable,USB Type-C 3.2 Gen 1,2000,0.134,Red / Silver
Western Digital G-DRIVE Mobile,,Portable,USB Type-C 3.2 Gen 1,1000,,Silver
Western Digital G-DRIVE Mobile,,Portable,USB Type-C 3.2 Gen 1,2000,,Silver
Western Digital G-DRIVE Mobile,,Portable,USB Type-C 3.2 Gen 1,2000,,Silver
Western Digital G-DRIVE ev RaW,,Portable,"USB Type-A 2.0, USB Type-A 3.2 Gen 1",2000,,Silver
Western Digital G-DRIVE Mobile,,Portable,"USB Type-A 2.0, USB Type-C 3.2 Gen 1",4000,,Silver
Seagate Backup Plus Ultra Touch,,Portable,USB Type-A 3.2 Gen 1,2000,,Black
Seagate Backup Plus Ultra Touch,,Portable,USB Type-A 3.2 Gen 1,1000,,Black
Seagate Backup Plus Portable,,Portable,USB Type-A 3.2 Gen 1,5000,,Blue / White
Seagate Backup Plus Portable,,Portable,USB Type-A 3.2 Gen 1,4000,,Blue / White
Apricorn Aegis Fortress,294.99,Portable,USB Type-A 3.2 Gen 1,512,0.576,Black
Apricorn Aegis Padlock DT,,Portable,USB Type-A 3.2 Gen 1,14000,,Black
Buffalo Technology Americas MiniStation,,Portable,USB Type-A 3.2 Gen 1,1000,,Black
Apricorn Apricorn Aegis Padlock,,Portable,USB Type-A 3.2 Gen 1,128,,Black
Buffalo Technology Americas MiniStation,,Portable,USB Type-A 3.2 Gen 1,2000,,Black
Asus FX HDD,,Portable,USB Type-A 3.2 Gen 2,1000,,Black
Seagate Backup Plus Portable,,Portable,USB Type-A 3.2 Gen 1,5000,,Silver
Freecom Mobile Drive Classic 3.0,,Portable,USB Type-A 3.2 Gen 1,1000,,Black
ADATA SE730,,Portable,USB Type-C 3.2 Gen 1,250,,
ADATA SD700,,Portable,USB Type-A 3.2 Gen 1,512,,
ADATA SD700,,Portable,USB Type-A 3.2 Gen 1,512,,
ADATA SD700,,Portable,USB Type-A 3.2 Gen 1,256,,
ADATA SD700,170.02,Portable,USB Type-A 3.2 Gen 1,256,0.664,
ADATA SD700,,Portable,USB Type-A 3.2 Gen 1,1000,,
ADATA SD600,,Portable,USB Type-A 3.2 Gen 1,512,,
ADATA SD600,,Portable,USB Type-A 3.2 Gen 1,256,,
ADATA SD600,,Portable,USB Type-A 3.2 Gen 1,256,,
SanDisk Extreme 900,155.97,Portable,USB Type-A 3.2 Gen 2,960,0.162,
SanDisk Extreme 900,,Portable,USB Type-A 3.2 Gen 2,1920,,
Apricorn Padlock SSD,262.12,Portable,USB Type-A 3.2 Gen 1,480,0.546,Black
Transcend StoreJet,79.99,Portable,USB Type-A 3.2 Gen 1,1000,0.08,
Transcend TS128GSJC10K,,Portable,USB Type-A 3.2 Gen 1,128,,
Transcend TS128GESD200K,,Portable,USB Type-A 3.2 Gen 1,128,,
Lenovo ThinkPad,287.95,Portable,USB Type-A 3.2 Gen 1,500,0.576,
Lenovo ThinkPad,,Portable,USB Type-A 3.2 Gen 1,750,,
Toshiba Canvio Slim II,105,Portable,USB Type-A 3.2 Gen 1,1000,0.105,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,2000,,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,2000,,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,2000,,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,2000,,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,2000,,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,1500,,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,1500,,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,1500,,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,1500,,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,1500,,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,1000,,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,1000,,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,1000,,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,1000,,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,750,,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,750,,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,750,,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,750,,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,750,,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,500,,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,500,,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,500,,
Toshiba Canvio Connect,,Portable,USB Type-A 3.2 Gen 1,500,,
Transcend StoreJet,,Portable,USB Type-A 2.0,500,,
Transcend StoreJet,,Portable,USB Type-A 2.0,500,,
Transcend StoreJet,,Portable,USB Type-A 2.0,750,,
Axiom Mobile-D,,Portable,USB Type-A 3.2 Gen 1,500,,
Axiom Mobile-D,,Portable,USB Type-A 3.2 Gen 1,320,,
Axiom Mobile-D,,Portable,USB Type-A 3.2 Gen 1,250,,
Axiom Mobile-D,,Portable,USB Type-A 3.2 Gen 1,750,,
Axiom Mobile-D,,Portable,USB Type-A 3.2 Gen 1,500,,
Axiom Mobile-D,,Portable,USB Type-A 3.2 Gen 1,320,,
Axiom Mobile-D,,Portable,USB Type-A 3.2 Gen 1,250,,
Axiom Mobile-D,,Portable,USB Type-A 3.2 Gen 1,1000,,
Apricorn Aegis Padlock,,Portable,"eSATA 3.0 Gb/s, USB Type-A 2.0",1000,,
Apricorn Aegis Padlock,,Portable,,500,,
