name,price,type,efficiency,wattage,modular,color
Asus TUF Gaming 1000G,291.38,ATX,gold,1000,Full,Black
Apevia Prestige,51.99,ATX,gold,600,false,Black
EVGA 700 BR,78.8,ATX,bronze,700,false,
Corsair HX1000i (2023),259.99,ATX,platinum,1000,Full,Black
Gigabyte P450B,89.99,ATX,bronze,450,false,Black
SeaSonic VERTEX PX-1200,285.2,ATX,platinum,1200,Full,Black / Silver
SeaSonic PRIME PX-2200 ATX 3 (2024),,ATX,platinum,2200,Full,Black
be quiet! Straight Power 12,159.9,ATX,platinum,850,Full,Black
Corsair RM850e (2025),129.99,ATX,,850,Full,Black
Gigabyte P850GM,174.9,ATX,gold,850,Full,Black
Asus ROG LOKI,169.99,SFX,platinum,750,Full,Black / Silver
SeaSonic FOCUS GX,163.79,ATX,gold,750,Full,Black
Segotep GM,89.99,ATX,gold,850,Full,Black
be quiet! Dark Power 13,219.9,ATX,titanium,850,Full,Black
Corsair RM850x SHIFT,138.97,ATX,gold,850,Full / Side,White
be quiet! Pure Power 11,152.93,ATX,gold,400,false,Black
be quiet! Pure Power 12,149.75,ATX,gold,1000,false,Black
SeaSonic PRIME TX-1600 ATX 3.0,539.99,ATX,titanium,1600,Full,Black / Silver
Deepcool PK650D,,ATX,bronze,650,false,Black
SeaSonic VERTEX PX-1000,249.99,ATX,platinum,1000,Full,Black / Silver
SeaSonic Focus GX V4 ATX 3 (2024),149.99,ATX,gold,850,Full,Black
EVGA 600 BR,79.92,ATX,bronze,600,false,
Apevia Prestige,66.98,ATX,gold,800,false,Black
NZXT C1200 (2024),199.99,ATX,gold,1200,Full,Black
CoolMax V-400,24.99,ATX,,400,false,
be quiet! Dark Power Pro 13,459.9,ATX,titanium,1600,Full,Black
be quiet! Straight Power 12,219.9,ATX,platinum,1200,Full,Black
Thermaltake Toughpower SFX,141.47,SFX,gold,1000,Full,Black
Corsair RM1200x SHIFT,209.99,ATX,gold,1200,Full / Side,White
be quiet! Straight Power 12,,ATX,platinum,1000,Full,Black
MSI MAG A1250GL PCIE5,201.99,ATX,gold,1250,Full,Black
Corsair CV650,,ATX,bronze,650,false,Black
be quiet! System Power 10,172,ATX,bronze,650,false,Black
Asus TUF Gaming 1000G,179.99,ATX,gold,1000,Full,White
Corsair CV550,,ATX,bronze,550,false,Black
Asus Prime AP-850G,129.99,ATX,gold,850,Full,White / Black
SeaSonic FOCUS PLUS 850 Gold,206.39,ATX,gold,850,Full,
be quiet! SFX L Power,232.15,SFX,gold,600,Full,Black
Cooler Master MWE Gold 750 V3,84.99,ATX,gold,750,Full,Black
Corsair HX1000 Platinum,399,ATX,platinum,1000,Full,
ADATA XPG Core Reactor II,119.99,ATX,gold,850,Full,Black
Lian Li EDGE GOLD,119.99,ATX,gold,850,Full,White
Corsair SF750 (2018),,SFX,platinum,750,Full,Black
Corsair RM1000x SHIFT,209.99,ATX,gold,1000,Full / Side,Black
SeaSonic VERTEX GX-1200,209.9,ATX,gold,1200,Full,Black / Silver
Gigabyte AORUS ELITE P1000 ICE,209.99,ATX,platinum,1000,Full,White
be quiet! SFX Power 3 450,119.46,SFX,bronze,450,false,Black
EVGA 600 GD,82.26,ATX,gold,600,false,Black
Thermaltake Smart BM3,69.98,ATX,bronze,650,Semi,Black
be quiet! SFX L Power,175.87,SFX,gold,500,Full,Black
Lian Li SP750,,SFX,gold,750,Full,White
be quiet! Pure Power 12 M,,ATX,gold,1200,Full,Black
Corsair RM750x (2018),164.88,ATX,gold,750,Full,Black
Corsair RM850x SHIFT,159.99,ATX,gold,850,Full / Side,Black
NZXT C1200,259.99,ATX,gold,1200,Full,Black
EVGA SuperNOVA 750 G2,,ATX,gold,750,Full,
Lian Li SP850,,SFX,gold,850,Full,Black
Corsair RM1000x,234,ATX,gold,1000,Full,
Lian Li EDGE GOLD,109.99,ATX,gold,850,Full,Black
EVGA 750 N1,75.3,ATX,,750,false,
Corsair RM750 (2019),,ATX,gold,750,Full,Black
Apevia Galaxy,79.98,ATX,gold,1000,Semi,Black
Thermaltake Toughpower GF3 TT Premium,299.99,ATX,gold,1650,Full,Black
Cooler Master V850 SFX GOLD,270,SFX,gold,850,Full,Black
EVGA 700 GD,105.27,ATX,gold,700,false,Black
Corsair SF850L,,SFX,gold,850,Full,Black
Cooler Master V SFX Gold ATX 3.0,,SFX,gold,850,Full,Black
Corsair HX1200 Platinum,405,ATX,platinum,1200,Full,
Apevia ATX-ES700-RGB,48.99,ATX,,700,Semi,Black
SeaSonic PRIME TX-1300 ATX 3.0,459.99,ATX,titanium,1300,Full,Black / Silver
SeaSonic Focus GX V4 ATX 3 (2024),189.9,ATX,gold,1000,Full,Black
be quiet! System Power 10,116.49,ATX,gold,850,false,Black
Corsair RM850x (2018),194.87,ATX,gold,850,Full,Black
Corsair RM650 (2019),,ATX,gold,650,Full,Black
Asus ROG STRIX 1000G,221.1,ATX,gold,1000,Full,Black
Thermaltake Toughpower GT,99.65,ATX,gold,850,Full,Beige
Tecnoware Free Silent,,ATX,,500,false,Black
Apevia Premier,54.99,ATX,gold,650,Semi,Black
Gigabyte UD-GM PG5,139.99,ATX,gold,850,Full,White
EVGA SuperNOVA 850 G3,,ATX,gold,850,Full,
Azza PSAZ-550W,54.99,ATX,bronze,550,false,Black
Corsair SF1000L,,SFX,gold,1000,Full,Black
Thermaltake Toughpower GT,,ATX,gold,750,Full,Beige
ADATA XPG Core Reactor II,129.99,ATX,gold,1000,Full,Black
Silverstone Extreme 500 Bronze,97.55,SFX,bronze,500,false,Black / White
ASRock Steel Legend SL-650G,79.99,ATX,gold,650,Full,Black
Rosewill CMG850,79.99,ATX,gold,850,Full,Black
NZXT C1200 (2024),204.99,ATX,gold,1200,Full,White
EVGA 850 BQ,119.99,ATX,bronze,850,Semi,
MSI MAG A750BE,79.98,ATX,bronze,750,Semi,Black
NZXT C1500,349.99,ATX,platinum,1500,Full,Black
ENDORFY Vero L5,130.15,ATX,bronze,600,false,Black
be quiet! Dark Power 13,179.9,ATX,titanium,750,Full,Black
NZXT C850 (2024),149.99,ATX,gold,850,Full,White
Asus ROG THOR P2 Gaming,347.99,ATX,platinum,1000,Full,Silver / Black
Gigabyte UD-GM PG5,157.16,ATX,gold,750,Full,Black
EVGA SuperNOVA 1600 P+,299.99,ATX,platinum,1600,Full,Black
Asus ROG THOR P2 Gaming,179.99,ATX,platinum,850,Full,Black / Silver
Gigabyte UD1000GM PG5 (rev. 2.0),129,ATX,gold,1000,Full,Black
Asus TUF Gaming 1200G,209,ATX,gold,1200,Full,Black
Aerocool Integrator,,ATX,bronze,500,false,Black
SeaSonic Focus GX V4 ATX 3 (2024),129.99,ATX,gold,750,Full,Black
Asus ROG LOKI,,SFX,titanium,1200,Full,Black / White
EVGA SuperNOVA 850 G6,,ATX,gold,850,Full,Black
GameMax RGB Pro,109.99,ATX,gold,850,Full,White
be quiet! Pure Power 12,106.6,ATX,gold,750,false,Black
be quiet! System Power 10,161,ATX,bronze,550,false,Black
Corsair HX1000i,392.09,ATX,platinum,1000,Full,
Thermaltake Toughpower GF1 PE,104.89,ATX,gold,850,Full,Black
"FSP Group Hydro Ti PRO,Gen 5",249.99,ATX,titanium,1000,Full,Black
Asus ROG LOKI,239.99,SFX,platinum,850,Full,White / Silver
Cooler Master MWE Bronze V2,,ATX,bronze,650,false,Black
Thermaltake Smart BM3,89.99,ATX,bronze,750,Semi,Black
Gigabyte P750GM,,ATX,gold,750,Full,Black
EVGA 500 BR,,ATX,bronze,500,false,
EVGA SuperNOVA 1000 G6,,ATX,gold,1000,Full,Black
ASRock Challenger CL-750B,59.99,ATX,bronze,750,false,Black
Cougar VTE,,ATX,bronze,600,false,Black
be quiet! Pure Power 12 M,,ATX,gold,550,Full,Black
ADATA XPG Core Reactor II,119.99,ATX,gold,850,Full,White
Thermaltake Toughpower SFX,194.99,SFX,platinum,1000,Full,Black
Corsair SF600 (2018),,SFX,platinum,600,Full,Black
EVGA SuperNOVA 650 P6,136.51,ATX,platinum,650,Full,Black / Silver
EVGA SuperNOVA 750 G3,,ATX,gold,750,Full,
Thermaltake Toughpower GF A3 - TT Premium Edition,159,ATX,gold,1050,Full,Black
Silverstone HELA 2050R Platinum,,ATX,,2050,Full,Black
Montech CENTURY MINI,104.9,SFX,gold,750,Full,Black
Gigabyte P550B,76.16,ATX,bronze,550,false,Black
Corsair CX550 (2017),,ATX,bronze,550,false,
Corsair RM650x (2018),,ATX,gold,650,Full,Black / Silver
ADATA XPG PYLON,136.15,ATX,bronze,650,false,Black
Cooler Master V SFX Platinum,,SFX,platinum,1100,Full,Black
NZXT C750 (2022),,ATX,gold,750,Full,Black
MSI MPG A750GF,,ATX,gold,750,Full,Black
SeaSonic PRIME TX-1600 Noctua Edition,,ATX,titanium,1600,Full,Brown / Black
be quiet! Power Zone 2,189.99,ATX,platinum,1000,Full,Black
Silverstone SFX,110.72,SFX,gold,500,Full,Black
Thermaltake Toughpower GF3 Snow,183.99,ATX,gold,1200,Full,White
be quiet! Straight Power 12,123.98,ATX,platinum,750,Full,Black
SeaSonic S12III,90.58,ATX,bronze,500,false,Black
Silverstone SX650-G,140.99,SFX,gold,650,Full,Black
Asus ROG-STRIX-850G,152.99,ATX,gold,850,Full,Black
Thermaltake Toughpower GX3,84.99,ATX,gold,850,false,Black
Asus ROG LOKI,219.99,SFX,platinum,850,Full,Black / Silver
ARESGAME AGV,,ATX,bronze,500,false,Black
Corsair RM750x SHIFT,129.99,ATX,gold,750,Full / Side,White
EVGA SuperNOVA 1600 T2,648.02,ATX,titanium,1600,Full,
Corsair RM850,,ATX,gold,850,Full,Black
EVGA 650 N1,66.48,ATX,,650,false,
Super Flower Leadex Titanium,,ATX,titanium,1600,Full,Black
ARESGAME AGV,,ATX,bronze,650,false,Black
Asus ROG LOKI,249.99,SFX,platinum,1000,Full,Silver / Black
Gigabyte P650G (US),,ATX,gold,650,false,Black
be quiet! Pure Power 12,119.75,ATX,gold,850,false,Black
Asus ROG Strix Aura Edition,264.99,ATX,gold,1200,Full,Black
Silverstone DA750R-GMA,,ATX,gold,750,Full,Black
Corsair CX750,,ATX,bronze,750,false,
Gigabyte UD750GM-A,88.98,ATX,gold,750,Full,Black
EVGA SuperNOVA 1000 P3,224,ATX,platinum,1000,Full,Black / Silver
SeaSonic FOCUS Gold,,ATX,gold,650,Semi,
ASRock Challenger CL-550B,39.99,ATX,bronze,550,false,Black
Asus ROG Strix,,ATX,platinum,1000,Full,Black
Corsair RM750e (2022),,ATX,gold,750,Full,Black
EVGA 650 GQ,136.63,ATX,gold,650,Semi,
be quiet! System Power 10,191,ATX,bronze,750,false,Black
EVGA 450 BR,100,ATX,bronze,450,false,
Apevia Signature,64.98,ATX,bronze,1050,Semi,Black
