name,price,type,efficiency,wattage,modular,color
ASRock Steel Legend SL-1000G,139.99,ATX,gold,1000,Full,Black
Vida Lite,,ATX,,750,false,Black
Aerocool Integrator,,ATX,bronze,700,false,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,,ATX,gold,1200,Full,Black
Deepcool PF600 230V,,ATX,plus,600,false,Black
be quiet! System Power 9,,ATX,bronze,600,false,Black
Cooler Master MWE Bronze 550 V3 230V,,ATX,bronze,550,false,Black
Corsair TX750M Gold,249.96,ATX,gold,750,Semi,
Deepcool PN750M,,ATX,gold,750,Full,Black
Apevia ATX-PR850W PCIE5.0,74.98,ATX,gold,850,false,Black
ASRock Challenger CL-750G,,ATX,gold,750,false,Black
SeaSonic Prime Fanless PX-500,272.5,ATX,platinum,500,Full,Black
Silverstone SX700-PT,159.99,SFX,platinum,700,Full,Black
Cooler Master XG750 Plus,99.99,ATX,platinum,750,Full,Black
EVGA SuperNOVA 1000 P2,419.99,ATX,platinum,1000,Full,
EVGA SuperNOVA 850 GA,,ATX,gold,850,Full,Black
Corsair RM750x White (2018),289,ATX,gold,750,Full,White / Black
Thermaltake Toughpower TF1 - TT Premium,,ATX,titanium,1550,Full,Black
EVGA 850 B5,143.93,ATX,bronze,850,Full,Black
FSP Group VITA-850GM,,ATX,gold,850,Full,Black
Corsair RM550x,,ATX,gold,550,Full,
Cooler Master G700,,ATX,gold,700,false,Black
ASRock Challenger CL-850G,69.99,ATX,gold,850,false,Black
Deepcool PM750D,,ATX,gold,750,false,Black
Silverstone Strider Titanium,339.99,ATX,titanium,1300,Full,Black / Blue
Corsair SF600 (2016),,SFX,gold,600,Full,Black
MSI MPG A750GF WHITE,,ATX,gold,750,Full,White
Corsair HX1500i (2022),490,ATX,platinum,1500,Full,Black
MSI MAG A600DN,,ATX,plus,600,false,Black
EVGA 750 BQ,138.72,ATX,bronze,750,Semi,
Cooler Master V650 SFX GOLD,,SFX,gold,650,Full,Black
Corsair RM650,,ATX,gold,650,Full,Black
Super Flower LEADEX VII XG,179.99,ATX,gold,1000,Full,White
SeaSonic VERTEX GX-750,129.99,ATX,gold,750,Full,Black / Silver
EVGA 650 BQ,135.94,ATX,bronze,650,Semi,
Cooler Master M2000,,ATX,platinum,2000,Full,Black
ASRock Challenger CL-650G,49.99,ATX,gold,650,false,Black
be quiet! Pure Power 11,,ATX,gold,700,false,Black
be quiet! Power Zone 2,152.19,ATX,platinum,850,Full,Black
GameMax RGB Rainbow,109.99,ATX,gold,850,Full,Black
Thermaltake Smart Pro RGB,199.99,ATX,bronze,750,Full,
Corsair CX650F,,ATX,bronze,650,Full,Black
Corsair RM850x (2018),339,ATX,gold,850,Full,White / Black
Super Flower Leadex III Gold UP,159.99,ATX,gold,1000,Full,Black
Thermaltake Toughpower PF1 - TT Premium Edition,,ATX,platinum,750,Full,Black
BitFenix BFG GOLD ATX3.0,84.9,ATX,gold,750,Full,Black
Thermalright TB-850,,ATX,bronze,850,Full,Black
Corsair CV750,,ATX,bronze,750,false,Black
ASRock Steel Legend SL-850G,109.99,ATX,gold,850,Full,Black
NZXT C1000 (2022),,ATX,gold,1000,Full,Black
Gigabyte P1000GM,,ATX,gold,1000,Full,Black
EVGA 550 B5,119.99,ATX,bronze,550,Full,Black
Corsair AX1200i,,ATX,platinum,1200,Full,
SeaSonic FOCUS SGX (2021),214.97,SFX,gold,750,Full,Black
ENDORFY Vero L5,83,ATX,bronze,500,false,Black
Super Flower Leadex III Gold UP,,ATX,gold,850,Full,Black
SeaSonic SSP-300SFG,86.99,SFX,gold,300,false,Silver
Corsair HX1200i,475,ATX,platinum,1200,Full,
Azza PSAZ-750W,74.98,ATX,bronze,750,false,Black
Aerocool LUX RGB 750M (230V EU),,ATX,bronze,750,Semi,Black
Lian Li EDGE GOLD,99.99,ATX,gold,750,Full,Black
EVGA 500 BQ,119,ATX,bronze,500,Semi,
Antec CSK,91.57,ATX,bronze,750,Semi,Black / Yellow
Corsair RM1000e (2022),,ATX,gold,1000,Full,Black
FSP Group VITA-750GM,,ATX,gold,750,Full,Black
Thermaltake Toughpower SFX,169.99,SFX,platinum,750,Full,Black
Asus ROG THOR P2 Gaming EVA Edition,620.7,ATX,platinum,1000,Full,Black / Silver
Asus TUF Gaming 650B,,ATX,bronze,650,false,Black
Corsair HX850 Platinum,,ATX,platinum,850,Full,
Asus ROG THOR T3 GAMING,,ATX,titanium,1600,Full,Black
Deepcool PL750D,,ATX,bronze,750,false,Black
EVGA SuperNOVA 750 GA,189.99,ATX,gold,750,Full,Black
Mars Gaming MPIII750,,ATX,,750,false,Black
Cooler Master MWE Gold V2 ATX3.0,149.99,ATX,gold,1050,Full,Black
GameMax RGB Rainbow,,ATX,gold,550,Full,Black
Thermaltake Smart BX1 550,84.97,ATX,bronze,550,false,Black
be quiet! Straight Power 11 850W,,ATX,gold,850,Full,
be quiet! System Power 9 700 CM,203.13,ATX,bronze,700,Semi,Black
Corsair CXM,145,ATX,bronze,750,Semi,
Phanteks AMP GH,,ATX,platinum,1000,Full,White
Deepcool PF750 230V,,ATX,plus,750,false,Black
Corsair CX600M,,ATX,bronze,600,Semi,
MSI MPG A650GF,190,ATX,gold,650,Full,Black
Corsair HX850i,499.99,ATX,platinum,850,Full,
Gigabyte UD1300GM PG5,209.99,ATX,gold,1300,Full,Black
be quiet! Pure Power 9 CM,227.51,ATX,bronze,600,Semi,Black
Corsair RM750,,ATX,gold,750,Full,
Silverstone FX350-G,98.24,Flex ATX,gold,350,false,Black
MSI MPG A850GF,,ATX,gold,850,Full,Black
SeaSonic FOCUS GX,,ATX,gold,550,Full,Black
Silverstone SST-TX300,74.98,TFX,bronze,300,false,Black
ENDORFY Vero L5,,ATX,bronze,700,false,Black
NZXT C650,99.98,ATX,bronze,650,Semi,Black
SeaSonic Focus GX V4 ATX 3 (2024),169.99,ATX,gold,850,Full,White
EVGA 1000 GQ,119.99,ATX,gold,1000,Semi,
Corsair CX450 (2017),149.99,ATX,bronze,450,false,
Gigabyte AORUS P1200W,,ATX,platinum,1200,Full,Black
Corsair VS650 (2018),,ATX,plus,650,false,
Thermaltake Toughpower GF A3 ATX 3.0,,ATX,gold,750,Full,Black
Deepcool PF350 230V,,ATX,plus,350,false,Black
Cooler Master V850 SFX GOLD,,SFX,gold,850,Full,White
Cooler Master X Mighty 2000 230V,,ATX,platinum,2000,Full,
Thermalright TR-SGFX 650W,,SFX,gold,650,Full,White
be quiet! Straight Power 11 1000W,275.43,ATX,gold,1000,Full,
Corsair CX500,,ATX,bronze,500,false,
YEYIAN Raiden,,ATX,bronze,650,false,Black
Aerocool Integrator,,ATX,bronze,600,false,Black
Cooler Master MWE Gold 650,,ATX,gold,650,Full,Black
NOX URANO VX,57.12,ATX,bronze,650,false,Black / Orange
Corsair TX650M,,ATX,gold,650,Semi,Black
Montech CENTURY G5,95.37,ATX,gold,750,Full,Black
Corsair AX1000,,ATX,titanium,1000,Full,Black / Silver
Thermaltake Toughpower PF3-L,143.16,ATX,platinum,850,Full,Black
Silverstone DA850R-GMA,,ATX,gold,850,Full,White
SeaSonic FOCUS Plus Gold,276.83,ATX,gold,1000,Full,Black
SHARKOON SilentStorm Cool Zero 650,152.93,ATX,gold,650,Full,Black
SeaSonic PRIME TX,512.23,ATX,titanium,1300,Full,Black / Silver
Gigabyte AORUS ELITE P850,179.99,ATX,platinum,850,Full,Black
Enermax REVOLUTION D.F. 2,128.15,ATX,gold,1200,Full,Black
GAMDIAS KRATOS P1 G,,ATX,gold,750,false,Black
Super Flower LEADEX VII Platinum PRO,199.99,ATX,platinum,1000,Full,Black
MSI MPG A850GS PCIE5,149.99,ATX,gold,850,Full,Black
Corsair VS600 (2020),,ATX,bronze,600,false,Black
Silverstone DA1000R,245.39,ATX,gold,1000,Full,Black
Thermaltake Litepower GEN2 230V,,ATX,,450,false,Black
SeaSonic FOCUS SGX,,SFX,gold,650,Full,Black
Vida ATX-500W,,ATX,,500,false,Black
Vetroo GV1000,134.99,ATX,gold,1000,Full,Black
Cooler Master GX III GOLD,,ATX,gold,850,Full,Black
KOLINK ENCLAVE,,ATX,gold,700,Full,Black
Deepcool PK750D,,ATX,bronze,750,false,Black
EVGA 500 GD,,ATX,gold,500,false,Black
SeaSonic PRIME TX,,ATX,titanium,1600,Full,Black / Silver
Cooler Master MWE Bronze 750 V3 230V,,ATX,bronze,750,false,Black
Gigabyte AORUS P GM,,ATX,gold,850,Full,Black / Silver
Silverstone TX500-G,143.99,TFX,gold,500,false,Black
SeaSonic FOCUS,,ATX,gold,850,Semi,Black
Thermaltake Toughpower GF A3 ATX 3.0,,ATX,gold,850,Full,Black
Silverstone SX-G,155.93,SFX,gold,700,Full,Black
Inter-Tech Argus APS,,ATX,,720,false,Black / Orange
SeaSonic PRIME TX-750,295.56,ATX,titanium,750,Full,Black
Cooler Master MWE White V2 230V,120.65,ATX,plus,700,false,Black
Cooler Master V650 V2,,ATX,gold,650,Full,White
Silverstone DA750 Gold,115.69,ATX,gold,750,Full,Black / White
be quiet! Power Zone 2,149.88,ATX,platinum,750,Full,Black
Corsair CX750F,225.11,ATX,bronze,750,Full,Black
SeaSonic PRIME Fanless,298.99,ATX,titanium,700,Full,Black
PowerSpec GFM,94.99,ATX,gold,750,Full,Black
Cooler Master Elite V3,121.47,ATX,,500,false,Black
Corsair AX1200,607.44,ATX,gold,1200,Full,
Cooler Master V550 V2,,ATX,gold,550,Full,White
ARESGAME AGT,,ATX,gold,1000,Full,Black
EVGA SuperNOVA 1300 G+,239.99,ATX,gold,1300,Full,Black
Montech CENTURY G5,108.21,ATX,gold,850,Full,Black
ADATA XPG KYBER,89.99,ATX,gold,850,false,Black
SeaSonic FOCUS PX,,ATX,platinum,850,Full,Black
Cooler Master MWE Gold V2 ATX3.0,,ATX,gold,850,Full,Black
Montech APX,45.9,ATX,plus,650,false,Black
Super Flower Leadex V Platinum Pro,,ATX,platinum,850,Full,White
Enermax Revolution D.F. X,216.99,ATX,gold,1650,Full,Black
EVGA SuperNOVA 650 GM,,SFX,gold,650,Full,Black
Super Flower Leadex Platinum SE,,ATX,platinum,1000,Full,Black
Thermaltake Smart Pro RGB,,ATX,bronze,650,Full,
EVGA SuperNOVA 1000 G3,379.99,ATX,gold,1000,Full,
Phanteks Revolt SFX,199.99,SFX,platinum,850,Full,Black
Corsair VS450,,ATX,plus,450,false,
Cooler Master MWE Bronze V2,,ATX,bronze,700,false,Black
SeaSonic G12 GC,,ATX,gold,850,false,Black / Blue
GameMax RGB Rainbow,160.99,ATX,gold,1050,Full,Black
Corsair RM850 (2019),,ATX,gold,850,Full,Black
EVGA SuperNOVA 650 G+,,ATX,gold,650,Full,Black
EVGA 600 GQ,,ATX,gold,600,Semi,Black
Corsair VS500,,ATX,plus,500,false,
Silverstone Essential,81.99,ATX,gold,550,false,Black / Yellow
EVGA SuperNOVA 850 P2,345,ATX,platinum,850,Full,
SeaSonic PRIME PX-1300,,ATX,platinum,1300,Full,Black
Thermaltake Smart,40.15,ATX,plus,430,false,Black / White
MSI MAG A500DN,,ATX,plus,500,false,Black
Thermalright TG,,ATX,gold,750,Full,Black
be quiet! Dark Power Pro 12,,ATX,titanium,1200,Full,Black
Deepcool PX850G,,ATX,gold,850,Full,Black
Antec CSK,67.18,ATX,bronze,650,false,Black / Yellow
Cooler Master XG850 Plus,158.97,ATX,platinum,850,Full,Black
Xilence XP600R6,58.07,ATX,,600,false,Black / Red
Deepcool PL650D,,ATX,bronze,650,false,Black
Montech TITAN GOLD 1000W,,ATX,gold,1000,Full,Black
PowerSpec PS 650BSM,,ATX,bronze,650,Semi,Black
Cougar GEX,116.12,ATX,gold,850,Full,Black
SeaSonic PRIME Titanium,599,ATX,titanium,1000,Full,
Thermaltake Toughpower GF1 Snow - TT Premium,,ATX,gold,750,Full,White
be quiet! Pure Power 12,,ATX,gold,550,false,Black
Enermax Revolution D.F. 12,129.99,ATX,gold,850,Full,White
Cooler Master Elite V3,,ATX,plus,600,false,Black
Thermalright TG,,ATX,gold,850,Full,White
Montech APX,54.9,ATX,plus,750,false,Black
EVGA GE,,ATX,gold,800,false,Black
Fractal Design Ion+ 2 Platinum,323.33,ATX,platinum,860,Full,Black
EVGA SuperNOVA 850 GM,,SFX,gold,850,Full,Black
Cooler Master MWE GOLD 650 V2 FULL MODULAR,,ATX,gold,650,Full,Black
ASRock Steel Legend SL-1000GW,154.99,ATX,gold,1000,Full,White
SHARKOON SilentStorm Cool Zero 750,118.87,ATX,gold,750,Full,Black
Corsair CX750F,,ATX,bronze,750,Full,White / Black
Montech TITAN GOLD 850W,301,ATX,gold,850,Full,Black
Antec NeoECO Gold,155.49,ATX,gold,850,Full,
EVGA SuperNOVA 1000 P6,,ATX,platinum,1000,Full,Black / Silver
SeaSonic B12 BC,,ATX,bronze,750,false,
Thermaltake Toughpower,,ATX,gold,650,Semi,
FSP Group Hydro PTM PRO,99.99,ATX,platinum,750,Full,Black
Corsair TX750M,,ATX,gold,750,Semi,Black
Razer Katana Chroma,149.99,ATX,platinum,850,Full,Black
EVGA SuperNOVA 650 GA,230,ATX,gold,650,Full,Black
Thermaltake Toughpower PF3,,ATX,platinum,1050,Full,Black
Enhance ENP-7660,,Flex ATX,platinum,600,false,Silver
SeaSonic M12II,,ATX,bronze,620,Full,
PowerSpec PS 650GSM,,ATX,gold,650,Semi,Black
"FSP Group Hydro PTM X PRO,Gen5",229.99,ATX,platinum,1200,Full,Black
EVGA SuperNOVA 750 G+,159,ATX,gold,750,Full,Black
NZXT C (2019),99.99,ATX,gold,650,Full,Black
SeaSonic G12 GM,,ATX,gold,750,Semi,Black / Blue
Vida Lite,,ATX,,650,false,Black
Super Flower Leadex Titanium,250.99,ATX,titanium,850,Full,Black
Super Flower LEADEX VII Platinum PRO,159.99,ATX,platinum,850,Full,Black
NZXT C650 (2022),,ATX,gold,650,Full,Black
ADATA XPG Core Reactor II VE,,ATX,gold,750,Full,
Corsair TX550M,,ATX,gold,550,Semi,Black
SeaSonic G12 GC,,ATX,gold,750,false,Black / Blue
Silverstone ATTIS 650R,,ATX,bronze,650,false,Black
Deepcool PK550D,,ATX,bronze,550,false,Black
MSI MAG A550BNL,,ATX,bronze,550,false,Black
Cooler Master MWE White V2 230V,,ATX,plus,750,false,Black / White
Thermalright TG,,ATX,gold,650,Full,White
Cooler Master MWE Bronze V2,168,ATX,bronze,600,false,Black
Thermaltake Litepower,,ATX,,650,false,
SeaSonic FOCUS,239.47,ATX,platinum,750,Full,Black
Deepcool PF650 230V,,ATX,plus,650,false,Black
be quiet! Straight Power 11 650W,,ATX,gold,650,Full,
"FSP Group Hydro PTM X PRO,Gen5",169.99,ATX,platinum,1000,Full,Black
Asus ROG STRIX 1200P Gaming,,ATX,platinum,1200,Full,Black / Silver
Cooler Master MWE Bronze 650 V3 230V,,ATX,bronze,650,false,Black
Corsair HX750 Platinum,,ATX,platinum,750,Full,
EVGA 750 BP,,ATX,bronze,750,false,Black
EVGA SuperNOVA 650 G1,,ATX,gold,650,Full,
Deepcool PF700 230V,,ATX,plus,700,false,Black
ADATA XPG CYBERCORE,,ATX,platinum,1000,Full,Black / Silver
FSP Group HEXA 85+ PRO,,ATX,bronze,550,false,Black
MSI MEG Ai1000P PCIE5,,ATX,platinum,1000,Full,Black / Copper
Silverstone SX1000R-PL,289.99,SFX,platinum,1000,Full,Black / White
Fractal Design Ion+ 2 Platinum,270.82,ATX,platinum,760,Full,Black
Xilence XP650R6.2,,ATX,plus,650,false,Black
FSP Group HV PRO,,ATX,plus,650,false,Black
EVGA SuperNOVA 550 GM,,SFX,gold,550,Full,Black
Thermalright TG,,ATX,gold,750,Full,White
Deepcool DQ-M-V2L,,ATX,gold,850,Full,Black / Green
SeaSonic B12 BC,,ATX,bronze,650,false,
Montech TITAN PLA,229.9,ATX,platinum,1200,Full,White
Silverstone Strider Platinum,139.38,ATX,platinum,550,Full,
Thermaltake TR2,48.41,ATX,,500,false,
SHARKOON SilentStorm,187.05,SFX,gold,500,Full,Black
EVGA 750 B5,,ATX,bronze,750,Full,Black
ENDORFY Supremo FM5,211.88,ATX,gold,750,Full,Black
ADATA XPG CORE Reactor 750,,ATX,gold,750,Full,Black
ARESGAME AGK,,ATX,gold,850,Full,Black / Red
ASRock Steel Legend SL-850GW,119.99,ATX,gold,850,Full,White
Thermalright TG,,ATX,gold,650,Full,Black
EVGA SuperNOVA 850 P6,,ATX,platinum,850,Full,Black / Silver
FSP Group Hydro Pro,,ATX,bronze,800,false,Black
EVGA 650 B5,,ATX,bronze,650,Full,Black
Corsair CX750 (2017),212.96,ATX,bronze,750,false,
EVGA 650BP,,ATX,bronze,650,false,Black
SeaSonic VERTEX PX-850,279.88,ATX,platinum,850,Full,Black / Silver
EVGA SuperNOVA 1300 G2,,ATX,gold,1300,Full,
Thermaltake Toughpower iRGB PLUS TT Premium Edition,,ATX,titanium,1650,Full,Black
Silverstone SFX,,SFX,bronze,300,false,Black
Asus ROG Strix Aura Edition,150.99,ATX,gold,750,Full,Black
Cooler Master V750 SFX GOLD,,SFX,gold,750,Full,White
Cooler Master MWE Gold V2 ATX3.0,,ATX,gold,750,Full,Black
EVGA SuperNOVA 1000 P5,,ATX,platinum,1000,Full,Blue / Black
Fractal Design Ion+ 2 Platinum,,ATX,platinum,660,Full,Black
EVGA 600 B1,129.97,ATX,bronze,600,false,
Silverstone HELA 850R,229.99,ATX,platinum,850,Full,Black / Silver
ASRock Challenger CL-650B,49.99,ATX,bronze,650,false,Black
Thermaltake Toughpower Grand RGB,,ATX,gold,850,Full,
Corsair CX430,,ATX,bronze,430,false,
Super Flower Leadex III Gold UP,98.99,ATX,gold,750,Full,Black
SeaSonic FOCUS Plus 550 Gold,,ATX,gold,550,Full,
FSP Group VITA-1000GM,,ATX,gold,1000,Full,Black
Corsair VS650,,ATX,,650,false,
Gigabyte UD1000GM PG5,203.74,ATX,gold,1000,Full,Black
Corsair CX650F,,ATX,bronze,650,Full,White / Black
Fractal Design Ion+ 2 Platinum,258.82,ATX,platinum,560,Full,Black
FSP Group HEXA 85+ PRO,,ATX,bronze,450,false,Black
Deepcool PX1000G,,ATX,gold,1000,Full,Black
EVGA SuperNOVA NEX650G Gold,,ATX,gold,650,Full,
ADATA XPG CORE Reactor 650,,ATX,gold,650,Full,Black
Antec NeoECO Gold,,ATX,gold,750,Full,
Thermaltake Smart BM2,,ATX,bronze,550,Semi,Black
Corsair RM650,,ATX,gold,650,Full,
Fractal Design Ion Gold,149.22,ATX,gold,750,Full,Black
Inter-Tech SAMA XPH-1200A,,ATX,platinum,1200,Full,Black
Corsair SF450 (2016),,SFX,gold,450,Full,Black
Antec CSK,64.06,ATX,bronze,550,false,Black / Yellow
Silverstone Essential,80.98,ATX,gold,550,Semi,Black
Aerocool Integrator Gold,,ATX,gold,750,Full,Black
GameMax RGB Pro,149.99,ATX,gold,1050,Full,White
Corsair TX750,200,ATX,plus,750,false,
ADATA XPG CORE Reactor 850,,ATX,gold,850,Full,Black
KOLINK Regulator,,ATX,gold,750,Full,Black
EVGA SuperNOVA 850 G+,251.24,ATX,gold,850,Full,
Silverstone ATTIS 650R,,ATX,bronze,650,false,White
Thermaltake Toughpower GF A3 - TT Premium Edition,109.99,ATX,gold,850,Full,Black
Asus ROG Strix,,ATX,gold,650,Full,Black / Red
ASRock Taichi TC-1300T,,ATX,titanium,1300,Full,Black / Silver
FSP Group Hydro PTM PRO,109.99,ATX,platinum,850,Full,Black
Antec NE850G M,,ATX,gold,850,Full,White
Cooler Master MWE Gold V2 ATX3.0,313,ATX,gold,1250,Full,Black
Cooler Master G500,,ATX,gold,500,false,Black
Silverstone TX700-G,177.99,TFX,gold,700,false,Black
Silverstone ATTIS 750R,,ATX,bronze,750,false,Black
Thermaltake Smart RGB 230V,68.31,ATX,plus,600,false,Black
Corsair HX1000i (2022),319.99,ATX,platinum,1000,Full,Black
GameMax RGB Rainbow,,ATX,gold,750,Full,Black
Corsair TX850M Gold,,ATX,gold,850,Semi,
MSI MPG A1250GS PCIE5,239.99,ATX,gold,1250,Full,Black
Mars Gaming MPII650,,ATX,,650,false,Black / Red
Super Flower Leadex Platinum SE,,ATX,platinum,1000,Full,White
Thermalright TG,,ATX,gold,850,Full,Black
Deepcool PF400 230V,,ATX,plus,400,false,Black
GameMax GP,,ATX,bronze,650,false,Black
SeaSonic FOCUS GX,276.83,ATX,gold,1000,Full,Black
Corsair RM550x (2018),,ATX,gold,550,Full,Black / Silver
Thermaltake Litepower,,ATX,,550,false,
EVGA SuperNOVA 1200 P2,,ATX,platinum,1200,Full,
ADATA XPG Core Reactor II,179.99,ATX,gold,1200,Full,Black
Silverstone DA850 Gold,,ATX,gold,850,Full,Black / White
Xilence XP500R6,,ATX,,500,false,Black / Red
Deepcool PX1200G,,ATX,gold,1200,Full,Black
Silverstone SX750-PT,,SFX,platinum,750,Full,Black
In Win IP-S200DF1-0,,TFX,,200,false,Silver
KOLINK ENCLAVE,,ATX,gold,600,Full,Black
Super Flower Leadex Platinum SE,,ATX,platinum,1200,Full,Black
Silverstone Strider Platinum S,299.99,ATX,platinum,1200,Full,Black
EVGA 700 BQ,99.99,ATX,bronze,700,Semi,Black
SeaSonic G12 GC,,ATX,gold,550,false,Black / Blue
Antec GSK ATX3.1,,ATX,gold,850,Full,Black
Corsair CS650M,,ATX,gold,650,Semi,
Corsair RM750x White,,ATX,gold,750,Full,White / Black
be quiet! SFX Power 3 300,96.23,SFX,bronze,300,false,Black
Antec NE1000G M ATX3.0,175.68,ATX,gold,1000,Full,Black
Phanteks Revolt X,,ATX,platinum,1200,Full,Black / Silver
ADATA XPG FUSION 1600,579.99,ATX,titanium,1600,Full,Black / Silver
Montech TITAN GOLD 1200W,,ATX,gold,1200,Full,Black
Corsair AX760,,ATX,platinum,760,Full,
Thermaltake Smart RGB,,ATX,plus,700,false,
Super Flower Zillion FG,148.99,ATX,gold,1250,Full,Black
Silverstone Extreme 1200R Platinum,,SFX,,1200,Full,Black
Thermalright TPFX750,,SFX,platinum,750,Full,Black
Enermax PlatiGemini,249.99,ATX,platinum,1200,Full,Black
ADATA XPG Core Reactor II VE,,ATX,gold,850,Full,
Apevia Spirit,,ATX,,600,false,
Corsair Vengeance 750M,,ATX,silver,750,Semi,
SeaSonic G12 GM,,ATX,gold,850,Semi,Black / Blue
Corsair CX550M (2021),,ATX,bronze,550,Semi,Black
Enermax Revolution D.F. X,109.89,ATX,gold,850,Full,Black
Silverstone SFX,169.99,SFX,platinum,700,Full,Black
Fractal Design Ion SFX 650G,,SFX,gold,650,Full,Black
Silverstone VA550-B,,ATX,bronze,550,false,Black
EVGA 500 B1,,ATX,bronze,500,false,
Corsair HX750i,,ATX,platinum,750,Full,
Montech TITAN PLA,199,ATX,platinum,1000,Full,White
FSP Group FSP400-60FGGBA,99.99,Flex ATX,gold,400,false,Silver
SeaSonic CORE GM,,ATX,gold,500,Semi,Black
Deepcool PK450D,,ATX,bronze,450,false,Black
Thermaltake Toughpower PF3-L,219.99,ATX,platinum,1200,Full,Black
Cooler Master V750 Gold V2,193.9,ATX,gold,750,Full,Black
EVGA SuperNOVA 850 T2,,ATX,titanium,850,Full,
NZXT C750,,ATX,bronze,750,Semi,Black
EVGA SuperNOVA 550 GS,,ATX,gold,550,Full,
EVGA SuperNOVA 850G XC,192.59,ATX,gold,850,Full,Black
Corsair RM750i,,ATX,gold,750,Full,
Sparkle FSP300-60ATV,59.99,ATX,,300,false,
Corsair CX850M,,ATX,bronze,850,Semi,
SeaSonic PRIME,,ATX,gold,1000,Full,Black
FSP Group Hydro G Pro,,ATX,gold,1000,Full,Black
GameMax GS,,SFX,bronze,300,false,Silver
EVGA SuperNOVA 550 GA,,ATX,gold,550,Full,Black
Cooler Master MasterWatt,119.7,ATX,bronze,750,Semi,Black
NOX URANO VX,,ATX,bronze,750,false,Black / Orange
GameMax GM,,ATX,bronze,800,Semi,Black
Silverstone Strider Platinum S,213.48,ATX,platinum,1000,Full,Black
GAMDIAS KRATOS M1 B,,ATX,bronze,600,false,Black
Corsair RM1000,,ATX,gold,1000,Full,
Phanteks AMP GH,,ATX,gold,750,Full,Black
Super Flower Leadex III Gold,,ATX,gold,650,Full,Black
FSP Group Hydro K Pro ATX3.0,,ATX,bronze,750,false,Black
SeaSonic FOCUS SPX (2021),,SFX,platinum,750,Full,Black
PowerSpec PSX 850GFM,,ATX,gold,850,Full,Black
Thermalright TB750S,,ATX,bronze,750,false,Black
Fractal Design Ion SFX 500G,,SFX,gold,500,Full,Black
Thermaltake Smart RGB 230V,163,ATX,plus,500,false,Black
RAIJINTEK AMPERE,162.9,ATX,platinum,1200,Full,Black
SeaSonic G12 GM,,ATX,gold,650,Semi,Black / Blue
Thermaltake Toughpower SFX,,SFX,gold,750,Full,Black
iTek GF EVO,,ATX,gold,650,Full,Black
Cooler Master V SFX Gold ATX 3.0,,SFX,gold,750,Full,Black
ENDORFY Supremo FM5,,ATX,gold,650,Full,Black
EVGA SuperNOVA 1300 P+,,ATX,platinum,1300,Full,Black
Tacens Radix VII AG,,ATX,silver,600,false,Black
Antec NE1000G M White ATX 3.0,179.99,ATX,gold,1000,Full,White
Thermaltake Toughpower GF A3 ATX 3.0,,ATX,gold,1050,Full,Black
Super Flower Leadex Platinum,299.99,ATX,platinum,1600,Full,Black
Cooler Master GX III GOLD,,ATX,gold,750,Full,Black / Purple
Logisys PS480D,27.99,ATX,,480,false,
Super Flower Leadex III Gold,114.99,ATX,gold,550,Full,Black
EVGA 430 W1,,ATX,plus,430,false,
FSP Group FSP300-60LG,113.59,Mini ITX,bronze,300,false,Black
Thermaltake Toughpower Grand RGB,,ATX,gold,750,Full,
Corsair HX850,,ATX,platinum,850,Full,Black
Super Flower Leadex III Gold UP,189.99,ATX,gold,1300,Full,Black
Cooler Master MWE White V2 230V,,ATX,plus,650,false,Black
SeaSonic PRIME PX,,ATX,platinum,1000,Full,Black / Silver
EVGA SuperNOVA 750 GM,,SFX,gold,750,Full,Black
EVGA SuperNOVA 1000 G2,,ATX,gold,1000,Full,
Thermaltake Toughpower Grand RGB Platinum,,ATX,platinum,1200,Full,Black
Corsair RM1000i,,ATX,gold,1000,Full,
Corsair AX860,,ATX,platinum,860,Full,
High Power PG-750,,ATX,,750,false,Black
SeaSonic VERTEX GX,,ATX,gold,1200,Full,White
EVGA SuperNOVA 1600 P2,599,ATX,platinum,1600,Full,
GameMax GX Pro Rampage,,ATX,gold,850,Full,Black
SeaSonic M12II,,ATX,bronze,620,false,
SeaSonic PRIME PX,,ATX,platinum,1600,Full,Black / Silver
EVGA SuperNOVA 650 GS,,ATX,gold,650,Full,
Fractal Design Ion+ 560P,,ATX,platinum,560,Full,Black
Asus ROG Strix,,ATX,gold,550,Full,Black / Red
Corsair AX850,,ATX,titanium,850,Full,Black / Silver
"FSP Group Hydro PTM X PRO,Gen5",146.94,ATX,platinum,850,Full,Black
Razer Katana Chroma,389.99,ATX,platinum,1200,Full,Black
Thermaltake TR2,57.73,ATX,,600,false,
Thermaltake Smart BM2,,ATX,bronze,650,Semi,Black
Thermaltake Toughpower GF1 - TT Premium,181.79,ATX,gold,1200,Full,Black
Enermax Revolution D.F. X,144.22,ATX,gold,1200,Full,Black
Enermax Revolution D.F.,,ATX,gold,850,Full,Black / Silver
FSP Group Hydro G PRO ATX3.0(PCIe5.0),,ATX,gold,1000,Full,Black
Enermax Revolution D.F. 12,119.79,ATX,gold,850,Full,Black
Montech APX,44.9,ATX,plus,550,false,Black
Cougar GEX,,ATX,gold,750,Full,Black
FSP Group Hydro K Pro ATX3.0,,ATX,bronze,850,false,Black
SeaSonic VERTEX GX-1000 Sakura Edition,,ATX,gold,1000,Full,White / Pink
