name,price,rpm,noise_level,color,size
ID-COOLING IS-67-XT,39.99,"500,2200",35.2,Black,
MSI MPG CORELIQUID D360,414.13,,,Black,360
Vetroo V360,69.95,"800,1800",30.8,Black,360
Corsair iCUE H150i RGB PRO XT,,2400,37,Black / White,360
Thermalright Frozen Edge,47.39,2150,28.1,White,240
Lian Li ALC 360,166,"300,2450",30,,360
Corsair H100x,,1700,37,Black,240
Deepcool LS720 SE WH,,"500,2250","28.2,32.9",White,360
Xilence A250PWM,42,"1000,2800","17.8,32",Red / Black,
ID-COOLING FROZN A400 BLACK,24.99,"500,2200",25.8,Black,
Cooler Master Hyper 622 Halo,64.99,"650,2050",27,White,
Deepcool ASSASSIN IV,,"500,1700","22.6,29.3",White,
Asus ROG STRIX LC II,149.99,"800,2500",37.6,Black,360
Lian Li Galahad II Trinity SL-INF,159.99,2100,29,Black,240
Phanteks GLACIER ONE 420D30,181.99,"250,1800",29.5,Black,420
NZXT Kraken Elite 280 RGB,264,"500,1500",34.48,Black,280
NZXT T120,34.48,"500,1800","17.9,30.6",White,
Gelid Solutions Slim Silence AM1,,"1200,2600","15,27.2",,
NZXT Kraken Elite 240 RGB (2024),253.99,"500,2400",30,Black,240
Thermalright Core Vision ARGB,89.9,2000,27.7,Black,360
TRYX PANORAMA,339.99,"500,2250",30.97,White,360
ARCTIC Liquid Freezer II 420 A-RGB,109.99,"200,1900",22.5,Black,420
Asus TUF Gaming LC II ARGB,119.99,"800,2000",29,Black,240
Deepcool Assassin 4S,,"500,1800",29.3,Black,
Cooler Master Hyper 622 Halo,98.72,"650,2050",27,Black,
Thermaltake Gravity A2,19.98,"1200,3500",33.5,Silver / Black,
Thermalright Assassin Spirit 120 Vision ARGB,30.9,1500,25.6,Black,
Deepcool LS520 SE,,"500,2250","28.2,32.9",Black,240
Corsair iCUE H60x RGB ELITE,,1500,"7,28",Black,120
Thermaltake TH360 V2 Ultra ARGB Sync,159.99,"500,1800",25.8,White,360
Cooler Master Hyper 620S,49.99,"350,1750",27.2,Black / Silver,
Jonsbo CR-1400 EVO ARGB Black,27.5,"800,2200","22.3,33.8",Black,
Cooler Master Hyper 411 Nano,,"650,2500",30.04,Black,
Thermalright Burst Assassin 120 EVO DARK,30.9,1500,25.6,Black,
Thermalright Frozen Warframe ULTRA ARGB,100.9,2000,22.1,White,360
ID-COOLING SL360,149.99,"500,2000",29.9,Black,360
Cooler Master Hyper 212 RGB Black Edition,59.99,"650,2000","8,30",,
Noctua NH-D14,,"900,1200","12.6,19.8",,
Thermalright Hyper Vision ARGB,,2150,27,Black,
NZXT Kraken Z73 RGB,,"500,1500","22,33",Black,360
ENDORFY Fera 5 Dual Fan,32.5,"250,1800",,Black / Silver,
Corsair H100i PRO RGB,199.99,2400,37,Black,240
EK EK-Nucleus AIO CR240 Lux D-RGB,115.25,"550,2300",36,Black,240
ARCTIC Liquid Freezer II 280,,"200,1700",,Black,280
Cooler Master MASTERLIQUID ML120L RGB V2,,"650,1800","6,27",Black,120
ID-COOLING FX240 PRO,49.99,"500,1800",35.2,White,240
MSI MAG CORELIQUID I360,139.99,,,White,360
Deepcool Ice Edge Mini FS V2.0,,2200,24.7,,
be quiet! Pure Loop 2,201.4,,"17.2,36.8",Black,360
Corsair H115i RGB PLATINUM,259.98,2000,37,Black / Silver,280
be quiet! Silent Loop 2 240,129.15,2200,"16.8,38.3",Black,240
Lian Li Galahad II LCD,192.93,"300,1550",26.7,White,280
Scythe SHURIKEN 3,39.99,"300,2500","1.8,31.78",Black,
ENDORFY Spartan 5 MAX,20,"250,1500",,Black / Silver,
Noctua NH-L12 Ghost S1,64.9,"300,1600","13.1,17.6",Silver / Beige,
Cooler Master MasterLiquid ML360 Illusion,152.64,"650,1800","6,30",Black / Silver,360
Cooler Master MasterLiquid 360 Core II,99.99,"600,1750",30,Black,360
Deepcool LD360,,"600,2400",38.71,Black,360
ID-COOLING FROSTFLOW X,,"700,1800","18,35.2",,240
Gigabyte AORUS WATERFORCE X II 360 ICE,219.99,"800,2400","12,37.5",White,360
Scythe FUMA 2,,"300,1200","2.7,24.9",Black / Silver,
Lian Li GALAHAD AIO 360 RGB,,"800,1900",,White / Silver,360
Asus ROG STRIX LC II,109.99,"800,2500",37.6,Black,240
Noctua NH-U9DXi4,64.95,"300,1600","13.1,17.6",,
be quiet! Pure Loop 2,84.5,,"15.4,34.9",Black,240
Thermalright SI-100,26.9,2000,27.7,Black,
Thermalright Core Vision ARGB,,2000,27.7,Black,360
Thermalright Frozen Infinity 240 ARGB,48.29,2000,28.2,White,240
ID-COOLING FROZN A410 ARGB,34.99,"500,2000",29.9,Black,
NZXT Kraken Z53,,"500,2000","21,36",Black,240
Thermaltake TH120 V2 ARGB Sync,69.98,"500,2000",25.8,Black,120
Corsair iCUE LINK TITAN 240 RX LCD,199.99,"300,2100","10,36",Black,240
Thermalright Aqua Elite ARGB V2,,2000,28.2,,360
Thermalright Core Vision ARGB,119.9,2000,27.7,White,360
Thermalright SI-100 WHITE ARGB,30.9,2000,27.7,White,
Corsair iCUE LINK TITAN 240 RX LCD,199.99,"300,2100","10,36",White,240
iBuypower AW4,99,"700,2000",38,Black,360
ARCTIC Liquid Freezer II 420,,"200,1700",,Black,420
NZXT Kraken X62,,"500,1800","21,38",,280
Cooler Master MasterLiquid PL360 FLUX,129.97,,32,Black,360
Thermalright Aqua Elite ARGB,,1550,25.6,White,360
ID-COOLING SE-225-XT,29.99,"700,1800","15.2,35.2",Black,
ID-COOLING DK-07i RAINBOW,,"500,1800","14.2,25.6",Black,
Noctua NH-U14S TR4-SP3,99.95,"300,1500","19.2,24.6",,
ID-COOLING DK-03,,1600,26.4,,
Thermalright Peerless Assassin MINI,,1500,25.6,White,
Gigabyte AORUS WATERFORCE X,239.99,"800,2500","7.9,37.6",Black,360
NZXT Kraken 280 RGB,173.86,"500,1500",34.48,Black,280
ENDORFY Navis F360 ARGB,160.13,"250,1800",,Black,360
ID-COOLING IS-55 ARGB,34.99,"500,2000",31.2,Black,
Deepcool AK400 DIGITAL WH,,"500,1850",28,White,
EK EK-Nucleus AIO CR240 Lux D-RGB,110.71,"550,2300",36,White,240
Thermaltake Gravity i3,14.99,"1200,3500",36.5,Silver / Black,
Thermaltake UX100,,1800,26.92,Black,
be quiet! Shadow Rock LP,49.9,1500,"14.8,25.5",,
Thermalright Grand Vision ARGB,,2150,29.4,Black,
be quiet! Shadow Rock 3,61.26,1600,"11.5,24.4",Black,
Deepcool AG300,,"500,3050",30.5,Black / Silver,
APNX AP1-V,29.99,"600,1800","16.1,32.8",White,
ARCTIC Alpine 12,,"100,2000",,Black / White,
ID-COOLING SL360,149.99,"500,2000",29.9,White,360
MSI MAG CORELIQUID P360,,"500,2000","14.3,34.3",Black,360
Noctua NH-C14S,79.95,"300,1500","19.2,24.6",,
Thermalright Assassin King SE,19.39,1550,25.6,Silver / Gray,
Corsair iCUE LINK TITAN 280 RX RGB,179.99,"300,1700",,Black,280
Thermalright Assassin King SE ARGB,20.49,1550,25.6,Silver / Gray,
Inter-Tech ALSEYE W90,38.99,3000,36.7,White / Black,
Deepcool AG400 DIGITAL BK ARGB,,"500,2100",31.6,Black,
Deepcool LE520,,"500,2250",32.9,White,240
Cooler Master Hyper 212 Black Edition,79.98,"800,2000","6.5,26",,
Asus ROG Ryujin III ARGB,184.99,"600,2200",36.45,Black,240
ID-COOLING BLITZ X4,19.98,"500,1500",26.6,Black / Silver,
ID-COOLING SE-914-XT,,"600,2200",,Black / Gray,
Intel BXTS15A,,"1000,3850",,,
Cooler Master MasterLiquid Lite 120,,"650,2000","6,30",,120
Thermalright Silver Soul 110,28.9,2500,23,White,
Cooler Master Masterliquid 360 Atmos,149.99,"690,2500",27.2,White,360
Asus ROG STRIX LC III ARGB LCD,264.99,"800,2200",36,White,360
EK Nucleus AIO CR240 Dark,,"550,2300",36,Black,240
Cooler Master MasterLiquid PL240 FLUX,80.58,,32,Black,240
Enermax LIQMAX III 240 ARGB,45.79,"500,1600","14,27",White / Black,240
MSI MAG CORELIQUID M240,97,"500,2000","14.3,34.3",Black,240
Deepcool LS520S ZERO DARK,,"500,2250","28.2,32.9",Black,240
ID-COOLING SE-224-XTS,24.99,"600,1500",28.9,White,
Cooler Master MasterLiquid Lite 240,,"650,2000","6,30",,240
Thermalright Frost Commander 140 BLACK,55.9,1800,30.2,Black,
ID-COOLING PINKFLOW,,"900,2000","16.3,33.5",White / Pink,240
be quiet! Silent Loop 3,174.9,1900,"19.4,34.3",Black,420
Thermaltake TH420 V2 Ultra ARGB Sync,189.99,"500,2000",34.7,White,420
Geometric Future Eskimo Pro 42,109.9,2400,34.2,Black,420
MSI MAG CORELIQUID A13,69.99,,,White,240
Cooler Master Hyper 212 Halo SF6 Ryu,40.99,"650,2050",27,White / Orange,
Noctua NH-D15 G2 HBC,149.94,1500,24.8,Brown / Silver,
Alpenföhn BLACK RIDGE,,"800,2800","14,37.6",Black,
Gelid Solutions Liquid 360,92.99,"750,1800",29.6,Black,360
Thermalright Royal Knight 120,36.9,2150,29.4,Black,
Cooler Master MasterLiquid ML240L V2 RGB,129.99,"650,1800","8,27",White / Black,240
Fractal Design Lumen S36 RGB V2,193.91,"500,2000","10,33.2",Black,360
Fractal Design Celsius S24,111.44,"500,2000",32.2,,240
EK Nucleus AIO CR360 Dark,,"550,2300",36,Black,360
Deepcool GAMMAXX AG620 ARGB,,"300,1850",29.4,Black,
Thermalright Assassin King 120 MINI V2,,1500,25.6,Black / Silver,
Deepcool AK500 DIGITAL,,"500,1850",28,Black,
Thermalright Aqua Elite ARGB,,1550,25.6,White,240
ID-COOLING FROZN A620 ARGB,59.99,"500,2000",29.9,Black,
Asus ROG STRIX LC II ARGB,99.99,"800,2500",37.6,White / Black,240
be quiet! Dark Rock TF 2,89.9,1400,,Black,
Thermalright Assassin Spirit V2 Plus,,1500,25.6,Gray,
GAMDIAS CHIONE M4-360,109.99,"800,2000","11,29",Black,360
Cooler Master Hyper 212 EVO V2,63.3,"650,1800","8,27",,
NZXT Kraken X63 RGB,,"500,1500","22,33",Black,280
APNX AP1-V,29.99,"600,1800","16.1,32.8",Black,
Deepcool AG400 PLUS,,"500,2000",,Black / Silver,
NZXT Kraken Z63 RGB,239.99,"500,1500","22,33",Black,280
Cooler Master MasterLiquid ML360L ARGB V2,200,"650,1800","8,27",Black,360
Corsair H100,,1500,"18,26.5",Black,240
ID-COOLING FROZN A410 ARGB WHITE,34.99,"500,2000",29.9,White,
ID-COOLING FROZN A620 GDL,49.99,"500,2000",29.9,Black / Gold,
Antec VORTEX 360,,"600,2000",31.24,Black,360
Enermax LIQMAXFLO SR 360,,"500,1800",23.46,Black,360
Cooler Master Hyper H410R RGB,35.24,"600,2000","6,29",,
Thermaltake TH360 ARGB Sync,,1500,28.2,Black,360
Thermaltake TH360 V2 Ultra ARGB Sync,169.99,"500,1800",25.8,Blue / White,360
Cooler Master I70C,23.49,"650,1800",28,Black / Silver,
NZXT Kraken X52,,"500,2000","21,36",,240
Corsair iCUE LINK TITAN 240 RX RGB,130.63,"300,2100",,White,240
Corsair H60,,2000,30.85,,120
ID-COOLING FX240 INF,,"300,2000",27.2,Black,240
ID-COOLING FROZN A620 ARGB WHITE,59.99,"500,2000",29.9,White,
Montech HyperFlow ARGB 240,89.14,2200,29.1,Black,240
Thermalright Burst Assassin,21.59,1550,25.6,Gray / Black,
MSI MAG CORELIQUID E240 WHITE,89.99,,,White,240
Cooler Master A71C,74.98,"650,1800",24.9,Black,
Lian Li Galahad II Trinity SL-INF,282.25,2100,29,White,240
NZXT Kraken X73 RGB,,"500,1500","22,33",Black,360
Thermaltake TH420 V2 Ultra ARGB Sync,189.99,"500,2000",34.7,Black,420
Thermaltake TH280 V2 ARGB Sync,109.99,"500,1800",25.8,Green,280
ID-COOLING FX240 INF,69.98,"300,2000",27.2,White,240
EK AIO 240 D-RGB,,"450,2600",36.4,Black,240
Deepcool LS520,,"500,2250",32.9,Black,240
Corsair iCUE H100i RGB ELITE,148.99,"400,1850","5,28.9",White,240
NZXT Kraken Elite 280 RGB (2024),265.99,"500,2000",34.5,Black,280
Gigabyte AORUS LIQUID COOLER,,2500,"18,39.5",Black,360
Jonsbo CR-1000,,"700,1800","20.55,37.2",Black,
Antec Symphony ARGB,122.98,"800,1600","20,35",Black,360
Deepcool AG620,,"300,1850",29.4,Black / Silver,
Deepcool GAMMAXX 400 V2,,"500,1650",,Black / Blue,
MSI MAG CORELIQUID E240,89.99,,,Black,240
Thermaltake ASTRIA 200 ARGB,34.99,"500,1800",26.8,Black,
Thermalright Hyper Vision UB ARGB,140.9,2150,27,Black,
Noctua NH-U9 TR4-SP3,89.95,"400,2000","16.3,22.8",,
be quiet! Light Loop,129.85,"1500,2900","15.4,34.9",Black,240
Deepcool LS720 WH,,"500,2250",32.9,White,360
Cooler Master MasterLiquid ML240L ARGB V2,,"650,1800","8,27",Black,240
Phanteks Glacier One 240MPH,208.74,"500,2200","18,34.2",White / Black,240
ENDORFY Fortis 5,39.9,"250,1400",,Black / Silver,
ARCTIC Liquid Freezer II 360 A-RGB,,"200,1800",22.5,Black / Gray,360
Thermalright RK120 SE,31.9,1500,25.6,Black / Silver,
Fractal Design Lumen S28 RGB V2,161.98,"500,1700","10,35.5",Black,280
ARCTIC Freezer 34 eSports DUO,,"200,2100",24.4,Black / Gray,
Thermalright Hyper Vision ARGB,,2150,27,White,
Thermaltake TOUGHLIQUID Ultra,208.99,"500,2500",28.1,Black,360
be quiet! Pure Loop 240,105.97,,"19,39.5",Black,240
Corsair H115i PRO,249,1200,20.4,,280
Thermalright Frozen Warframe ULTRA ARGB,99.9,2000,22.1,Black,360
Phanteks GLACIER ONE 420D30,184.99,"250,1800",29.5,White,420
Corsair iCUE H115i RGB ELITE,,"400,1600","19,35.8",Black,280
NZXT Kraken X72,,"500,2000","21,36",Black,360
Corsair H55,,1500,"18,26.5",Black,120
StarTech FAN775E,14.86,2600,22.2,,
Thermalright Frozen Warframe PRO ARGB,119.9,2000,29.8,White / Blue,360
NZXT Kraken X53 RGB,,"500,1500","22,33",Black,240
Cooler Master X Dream I117,,1800,,,
Scythe Fuma 2 Rev.B,,"300,1500","2.58,23.8",Black / Silver,
be quiet! Pure Loop 2,94.5,,"15.4,33.8",Black,280
Corsair iCUE H100i ELITE LCD,,"450,2000","10,30.4",Black,240
Deepcool MYSTIQUE 240,,"500,2150",36.49,Black,240
ENDORFY Fortis 5 ARGB,50.5,"250,1400",,Black / Silver,
Deepcool GAMMAXX GTE V2,,"500,1650",27.8,Black / White,
Thermalright Frozen Warframe ARGB,,2000,22.1,Black,240
CRYORIG H7,,"330,1600",25,,
Cooler Master MasterLiquid ML360L ARGB V2,178.63,"650,1800","8,27",White,360
ID-COOLING FX360 PRO,,"500,1800",35.2,White,360
Antec Symphony ARGB,98.76,"800,1600","20,35",White,360
Cooler Master MasterLiquid ML280 Mirror,,"650,1400","10,27",Black,280
Corsair H100i,,2700,37.68,,240
Thermaltake TH360 ARGB Sync,146.94,1500,28.2,White,360
Thermalright Assassin Spirit V2,,1500,25.6,Gray,
Lian Li Galahad II LCD,213.69,"300,1550",26.7,Black,280
Gigabyte AORUS WATERFORCE X II 240AORUS WATERFORCE X II 240,199.99,"800,2400","12,37.5",Black,240
be quiet! Silent Loop 2 280,139.28,1600,"16.5,36.1",Black,280
EK AIO 120 D-RGB,79,"450,2600",36.4,Black,120
Asus ROG STRIX LC II 280 ARGB,119.99,"700,2100",35.7,Black,280
Corsair iCUE H115i ELITE CAPELLIX,,2000,"10,36",Black,280
Thermaltake ASTRIA 600 ARGB,59.99,"500,1800",26.8,Black,
Phanteks Glacier One 360 T30 Gen2,369.49,"1200,3000","11.1,39.7",Black / Gray,360
Deepcool AK500S DIGITAL,,"500,1850",28,Black,
Thermaltake TH240 V2 Ultra ARGB Sync,141.99,"500,1800",25.8,White,240
ID-COOLING PINKFLOW 360,,"900,2000","16.3,33.5",Pink,360
Thermalright Peerless Assassin 120 SE V2,37.99,1850,29.5,Black / Silver,
TRYX PANORAMA,299.99,"500,2250",30.97,Black,240
ENDORFY Navis F360,,"250,1800",,Black,360
Asus ROG RYUJIN III 360 ARGB EVA-02 EDITION,,"600,2200",36.45,Red / Black,360
ID-COOLING FROZN A410 SE ARGB,29.99,"300,2000",27.2,Black / Silver,
CRYORIG C7 Cu,189,"600,2500",30,White / Orange,
Thermalright Elite Vision 360 ARGB,,2150,27,Black,360
Noctua NH-L9x65 SE-AM4,59.95,"600,2500","14.8,23.6",,
ENDORFY Fortis 5 Dual Fan,46.5,"250,1400",,Black / Silver,
Thermalright AXP90-X53,,2700,22.4,Black,
Cooler Master MasterAir MA612 Stealth ARGB,124.17,"650,1800","8,27",,
Thermalright Assassin Spirit 120,,1500,25.6,Gray / Silver,
ID-COOLING DX360 MAX,79.98,,32.5,Black,360
ID-COOLING FX360 INF,79.98,"300,2000",27.2,White,360
Corsair iCUE H100i ELITE CAPELLIX,246.08,2400,"10,37",White,240
Thermalright Burst Assassin 120 Vision,69.9,1500,25.6,Black,
NZXT Kraken Z63 RGB,274.99,"500,1500","22,33",White / Black,280
ARCTIC Liquid Freezer 360,,"500,1350",22.5,,360
Lian Li Galahad II Trinity,221.31,2450,35.4,White,240
Montech METAL DT24 PREMIUM,69,"800,1950",26,Black / Silver,
Asus ROG STRIX LC III ARGB,234.99,"800,2200",36,Black,360
Alpenföhn Panorama 2,,"500,3000",37.6,Black,
MSI MAG CORELIQUID C360,,"500,2000","14.3,34.3",Black,360
ID-COOLING IS-40-XT,26.99,"800,2800","14,35.2",Black,
Asus ROG Ryujin 240 RGB AIO,240.34,"450,2000",29.7,Black,240
be quiet! Pure Loop 2 FX,99.9,,"10.8,32.8",Black,280
Deepcool CASTLE 240EX A-RGB,,"500,1800",30,Black,240
Cooler Master MasterLiquid 360 Core II,99.99,"600,1750",30,White,360
Silverstone IceMyst 360,136.99,"500,2200","12.1,33.1",Silver / Black,360
Deepcool AK500,,"500,1850",,Black / Silver,
ENDORFY Fera 5 ARGB,34.5,"250,1800",,Black / Silver,
GAMDIAS CHIONE M4-240,76.98,"800,2000","11,29",Black,240
EK AIO Basic 240,,"550,2200",33.5,Black,240
Cooler Master i50,16.98,2000,28,Black / Silver,
Fractal Design Lumen S24 V2,,"500,2000","10,33.2",Black,240
Thermaltake CL-P0503,12.95,2900,29.58,,
Corsair iCUE H115i RGB Pro XT,,2200,36,Black,280
Fractal Design Celsius S36,,"500,2000",32.2,,360
Thermalright Burst Assassin 120 Vision,69.98,1500,25.6,White,
NZXT Kraken Elite 280 RGB (2024),252.99,"500,2000",34.5,White,280
Zalman CNPS9X Performa ARGB,27.9,"700,1800",28,Black,
Gelid Solutions BlackFrore,,"900,2000",20,Black,
be quiet! Dark Rock Pro TR4,145.86,"1200,1500","12.8,24.3",Black,
Asus ROG STRIX LC III,210.99,"800,2200",36,Black,360
Cooler Master MasterLiquid ML360R RGB,,"650,2000","6,34",Black,360
Asus ROG RYUO III 240 ARGB WHITE EDITION,135.99,2200,36.45,White,240
Lian Li GALAHAD AIO 240 RGB UNI FAN SL120 EDITION,,"800,1900",32,Black / Silver,240
Thermalright Frozen Warframe ARGB,,2000,22.1,White,240
Jonsbo CR-1400 EVO Color Black,24.88,"800,2200","22.3,33.8",Black,
ENDORFY Navis F240,114.18,"250,1800",,Black,240
TRYX PANORAMA ARGB,309.99,"500,1850",27.86,White,240
Thermalright Frozen Warframe PRO,,2000,29.8,Black,360
Asus Prime LC 240 ARGB,89.99,"600,2200",,Black,240
be quiet! Shadow Rock 3,87.81,,"11.5,24.4",White / Black,
Noctua NH-U12DXi4,74.95,"300,1500","18.6,22.4",,
Thermalright Frozen Prism,65.9,1850,27,Black,240
Corsair H110i,,2100,43,,280
Deepcool LS520 SE WH,,"500,2250","28.2,32.9",White,240
NZXT Kraken X73 RGB,,"500,1500","22,33",White / Black,360
Thermaltake TOUGHLIQUID Ultra,249.99,"500,2000",33.2,Black,420
Cooler Master MasterLiquid 360 Ion,224.99,,30,Black,360
Cooler Master MasterLiquid ML240R RGB,179.99,"650,2000","6,30",,240
MSI MAG CORELIQUID C240,142.27,"500,2000","14.3,34.3",Black,240
be quiet! Silent Loop 3,139.9,2500,"18.7,36.9",Black,240
Corsair iCUE H150i ELITE LCD,,"450,2000","10,30.4",Black,360
ID-COOLING SL PRO SE,109.99,"300,2000",27.2,Black,360
Deepcool Assassin 4S,,"500,1800",29.3,White,
ID-COOLING SE-207-XT SLIM,39.99,"700,1800","15.2,35.2",,
ID-COOLING SL240,119.99,"500,2000",29.9,White,240
Cooler Master MasterLiquid ML240 Illusion,145.94,"650,1800","6,30",Black,240
GameMax Sigma 550 Infinity,,"800,1800",32.5,Black,
Deepcool AK500,,"500,1850","25.9,31.5",White,
BitFenix Cube ARGB,59.99,2000,34,Black,240
Deepcool LT520 WH,,"500,2250",32.9,White,240
Cooler Master MasterLiquid 240 Core II,84.99,"600,1750",30,Black,240
IceGiant ProSiphon Elite,,"300,2300",,Black,
Thermalright Assassin King 90,25.9,2500,27.3,Black / Silver,
Noctua NH-U12S SE-AM4,74.95,"300,1500","18.6,22.4",,
ID-COOLING FROSTFLOW X 240 LITE,,"700,1800","15.2,35.2",Black,240
Deepcool AG400 ARGB,,"500,2000",31.6,Black / Silver,
Antec A400i,26.74,"800,1800","20,36",Black / Silver,
Scythe Kotetsu Mark 3,29.99,"300,1500","4,28.6",Black / Silver,
Thermalright Frozen Notte ARGB V2,,2000,27.7,Black,360
Lian Li GALAHAD AIO 360 RGB UNI FAN SL120 EDITION,,"800,1900",32,White / Silver,360
Thermalright Assassin Spirit 120 Vision ARGB,30.9,1500,25.6,White,
Asus ROG Ryujin III,194.99,"600,2200",36.45,White,240
TRYX PANORAMA ARGB,329.99,"500,1450",27.07,Black,280
Deepcool AG500 BK ARGB,,"300,1850",29.4,Black,
Thermalright Grand Vision ARGB,,2150,29.4,White,
NZXT Kraken Z53 RGB,,"500,1500","22,33",White / Black,240
NZXT Kraken X63 RGB,259,"500,1500","22,33",White / Black,280
Thermaltake TH280 V2 ARGB Sync,109.99,"500,1800",34.7,Black,280
Cooler Master MasterLiquid ML240L RGB,,"650,2000","6,30",,240
Vetroo V360,74.95,"800,1800",30.8,Pink,360
Corsair H115i,224.98,2000,40,,280
Cooler Master Hyper 212 LED Turbo ARGB,,"650,1800",27,Black,
Enermax LIQMAXFLO SR 240,64.79,"500,1800",23.46,Black,240
ID-COOLING AURAFLOW X,,"700,1800","18,35.2",Black,240
ENDORFY Fera 5 Black,33.5,"250,1800",,Black,
EK AIO Basic 360,,"550,2200",33.5,Black,360
Cougar Poseidon Elite ARGB 360,115.78,"500,2200",33.5,Black,360
Corsair H80i v2,,2435,37.7,,120
Fractal Design Lumen S36 V2,175.29,"500,2000","10,33.2",Black,360
NZXT Kraken Z53 RGB,,"500,1500","22,33",Black,240
Deepcool CASTLE 360EX A-RGB,,"500,1800",30,Black,360
Thermalright Aqua Elite ARGB V2,,2000,28.2,,360
be quiet! Light Loop,142.62,"1500,2900","15.4,34.9",White,240
MSI MAG CORELIQUID I240,109.99,,,Black,240
Thermalright Royal Pretor 130 BLACK,52.49,1750,28.3,Black,
be quiet! Pure Rock Slim,74,2000,"13.1,25.4",,
Valkyrie SYN,245.9,"800,2150",29,White / Blue,360
EVGA CLCx 280,252.42,,35,Black,280
Thermalright Elite Vision 360 ARGB,,2150,27,White,360
Asus ROG RYUJIN II ARGB,318,,,Black,240
Gigabyte AORUS WATERFORCE II 240,,"800,2300","12.8,36.9",Black,240
Alphacool Core Ocean T38,79,,"0,34.3",Black,360
Thermaltake TOUGHAIR 310,39.99,"500,2000",23.6,Black / Gray,
ID-COOLING DASHFLOW BASIC,,"700,1800","15.2,35.2",Black,360
Gelid Solutions Liquid 240,80.98,"750,1800",29.6,Black,240
ARCTIC Liquid Freezer II 240 A-RGB,,"200,1800",22.5,Black / Gray,240
Deepcool AG620 WH ARGB,,"300,1850",29.4,White,
Thermalright Frozen Warframe PRO ARGB,,2000,29.8,White / Pink,360
Phanteks Glacier One 240 T30 Gen2,,"1200,3000","11.1,39.7",Black / Gray,240
ID-COOLING SL240,109.99,"500,2000",29.9,Black,240
Iceberg Thermal IceFLOE OASIS 360,,"200,2200",28.9,Black,360
Lian Li GALAHAD AIO 240 RGB,,"800,1900",,White / Silver,240
Thermaltake TH120 ARGB Sync,79.98,1500,28.2,White,120
ARCTIC Alpine 12 LP,,"100,2000",,Black / White,
Thermalright AXP90-X36,,2700,22.4,Black,
Enermax Liqmax III 240 ARGB,,"500,1600","14,27",Black,240
MSI MAG CORELIQUID 360R V2,350,"500,2000","14.3,34.3",White,360
EVGA CLCx 360,299.99,,35,Black,360
Thermaltake TH280 V2 ARGB Sync,109.99,"500,1800",34.7,White,280
KOLINK Umbra EX180 Black Edition,47.33,"800,1800",28.6,Black,
ADATA XPG LEVANTE 360,159.99,"600,2000",34,Black,360
Thermaltake TH420 V2 ARGB Sync,139.99,"500,1800",34.7,Black,420
ARCTIC Freezer i35 A-RGB,40.1,"200,1700",,Black,
NZXT Kraken X53 RGB,,"500,1500","22,33",White / Black,240
Thermalright Frost Commander 140,48.9,1800,30.2,Gray,
be quiet! Shadow Rock Slim 2,47.9,1400,"11.5,23.7",Black,
Lian Li GALAHAD AIO 360 RGB,,"800,1900",,Black / Silver,360
Deepcool GAMMAXX L240 V2,,"500,1800",30,Black / White,240
ARCTIC Freezer 4U-M,64.9,"400,2300",40,Black / Silver,
Thermaltake ASTRIA 400 ARGB,51.33,"500,1800",26.8,Black,
Thermalright Aqua Elite ARGB V2,,2000,28.2,,240
be quiet! Pure Loop 2,74.5,,"13,32.1",Black,120
Asus ROG RYUJIN II,230.17,"450,2000",29.7,Black,240
Cooler Master MasterLiquid ML240L ARGB V2,,"650,1800","8,27",White,240
ID-COOLING SE-224-XTS ARGB,,"600,1500",28.9,Black,
Corsair iCUE H60i RGB PRO XT,,2400,"10,37",Black,120
Corsair A500,104.99,2400,36,Black / Silver,
Fractal Design Celsius+ S36 Prisma PWM ARGB,359.99,"500,2000",32.7,Black,360
Deepcool THETA 20 PWM,,"900,2400","17.8,32.5",Black / Silver,
be quiet! Pure Loop 360,,,"19.8,40.5",Black,360
Cooler Master I70,,1800,28,Black / Silver,
ID-COOLING FX360 INF,89.99,2900,25,Pink,360
Jonsbo CR-1000 EVO ARGB Black,,"600,1500","22,32",Black,
Asus ROG STRIX LC III ARGB,239.99,"800,2200",36,White,360
Ocypus Iota A40,34.99,"500,2000",29,Black,
Alphacool Core Ocean T38,93.5,,"0,36",Black,420
Noctua NH-D15 SE-AM4,109.95,"1200,1500","19.2,24.6",,
Deepcool AG400 DIGITAL PLUS,,"500,2100",31.6,Black,
Mars Gaming ML-ONE,,"600,1800","9,26",White,360
ID-COOLING IS-40X,23.99,"600,2500","14,33",Black / White,
Asus ROG RYUJIN 360,,"450,2000",29.7,Black,360
Deepcool AK400,,"500,1850",29,Pink / White,
Thermaltake TH240 V2 ARGB Sync,79.98,"500,2000",25.8,White,240
Noctua NH-U9B SE2,,"1000,1600","7.9,17.6",,
Deepcool Castle 240 RGB V2,,"500,1800",30,Black,240
Vetroo V240,59.99,"800,1800",30.8,Pink,240
Silverstone VIDA 240 SLIM,127.99,"300,1800","15.9,33.9",Black,240
MSI MAG CORELIQUID 240R V2,123.85,"500,2000","14.3,34.3",White,240
Montech HyperFlow ARGB 240,89.9,2200,29.1,White,240
ENDORFY Navis F240 ARGB,135.49,"250,1800",,Black,240
Cooler Master Wraith Ripper,178.38,,"0,38",Black,
Thermalright Hyper Vision UB ARGB,135.9,2150,27,White,
