name,price,rpm,noise_level,color,size
Cooler Master MasterLiquid 360L Core ARGB,88.99,"350,1750",27.2,White,360
Montech HyperFlow ARGB 360,99.9,2200,29.1,Black,360
Corsair NAUTILUS 360 RS,109.99,2100,34,Black,360
NZXT Kraken Elite 360 RGB (2024),319.99,"500,2400",30,Black,360
Corsair iCUE LINK TITAN 360 RX RGB,199.99,"300,2100",,White,360
Thermalright Peerless Assassin 140,47.9,1500,25.6,White,
Lian Li Galahad II LCD SL-INF,244.99,,29,White,360
ARCTIC Liquid Freezer III 420 A-RGB,159.99,"200,1900",,Black,420
Cooler Master Hyper 212 Halo,33.98,"650,2050",27,Black,
ID-COOLING FX360 PRO,53.99,"500,1800",35.2,Black,360
Asus ROG Ryujin III ARGB,,"600,2200",36.45,Black,360
Noctua NH-D15S chromax.black,109.95,"300,1500","19.2,24.6",Black,
Thermalright AXP90-X47,40.9,2700,22.4,Orange / Brown,
Thermalright Frozen Notte ARGB,49.9,2000,27.7,Black,240
Thermalright Frozen Prism ARGB,56.9,1850,27,Black,360
Corsair iCUE H150i ELITE CAPELLIX,398,2400,"10,37",Black,360
Thermalright Peerless Assassin 120 White,44.79,1550,25.6,White,
Thermalright Aqua Elite V3,44.9,1500,25.6,White,240
Deepcool GAMMAXX AG400 ARGB,,"500,2000",31.6,Black,
EK EK-Nucleus AIO CR360 Lux D-RGB,150,"550,2300",36,Black,360
ARCTIC Alpine 23,11.8,"100,2000",,White / Black,
ARCTIC Liquid Freezer III 240 A-RGB,90.08,"200,2000",,White,240
Corsair NAUTILUS 360 RS ARGB,129.99,2100,34,White,360
NZXT Kraken Elite 360,,"500,1800","17.9,30.6",Black,360
Deepcool AK620 DIGITAL,,"500,1850",28,Black,
Thermalright Assassin Spirit 120 EVO DARK,40.9,1850,27,Black,
TRYX PANORAMA ARGB,349.99,"500,1850",27.86,White,360
Thermalright AXP90-X47,45.9,2700,22.4,Black,
Noctua NH-U12S redux,54.95,"450,1700",25.1,Gray / Silver,
ARCTIC Freezer 36 A-RGB,50.47,"200,2000",,Black,
be quiet! Pure Rock 2,37.99,1500,"19.1,26.8",Silver / Black,
Cooler Master Hyper H412R,22.99,"600,2000",29.4,Black,
Thermalright Grand Vision ARGB,,2150,29.4,Black,
Thermalright AXP90-X47,22.9,2700,22.4,White,
Noctua NH-D15 G2 LBC,149.94,1500,24.8,Brown / Silver,
ID-COOLING IS-55 Black,34.99,"500,2000",31.2,Black,
Thermalright Frozen Prism,59.09,1850,27,Black,360
